"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"57007","2020/11/11","VU",299882,1,0,1,0,1,1,3.33464496035107e-06,3.33464496035107e-06,3.33464496035107e-06,3.33464496035107e-06
"57006","2020/11/12","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57005","2020/11/13","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57004","2020/11/14","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57003","2020/11/15","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57002","2020/11/16","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57001","2020/11/17","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"57000","2020/11/18","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"56999","2020/11/19","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"56998","2020/11/20","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"56997","2020/11/21","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"56996","2020/11/22","VU",299882,0,0,1,0,1,1,3.33464496035107e-06,0,3.33464496035107e-06,3.33464496035107e-06
"56995","2020/11/23","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56994","2020/11/24","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56993","2020/11/25","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56992","2020/11/26","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56991","2020/11/27","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56990","2020/11/28","VU",299882,0,0,1,0,0,1,3.33464496035107e-06,0,0,3.33464496035107e-06
"56989","2020/11/29","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56988","2020/11/30","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56987","2020/12/01","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56986","2020/12/02","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56985","2020/12/03","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56984","2020/12/04","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56983","2020/12/05","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56982","2020/12/06","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56981","2020/12/07","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
"56980","2020/12/08","VU",299882,0,0,1,0,0,0,3.33464496035107e-06,0,0,0
