"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"54269","2020/03/19","ZM",17861034,2,0,2,0,2,2,1.11975600068843e-07,1.11975600068843e-07,1.11975600068843e-07,1.11975600068843e-07
"54268","2020/03/20","ZM",17861034,0,0,2,0,2,2,1.11975600068843e-07,0,1.11975600068843e-07,1.11975600068843e-07
"54267","2020/03/21","ZM",17861034,0,0,2,0,2,2,1.11975600068843e-07,0,1.11975600068843e-07,1.11975600068843e-07
"54266","2020/03/22","ZM",17861034,0,0,2,0,2,2,1.11975600068843e-07,0,1.11975600068843e-07,1.11975600068843e-07
"54265","2020/03/23","ZM",17861034,1,0,3,0,3,3,1.67963400103264e-07,5.59878000344213e-08,1.67963400103264e-07,1.67963400103264e-07
"54264","2020/03/24","ZM",17861034,0,0,3,0,3,3,1.67963400103264e-07,0,1.67963400103264e-07,1.67963400103264e-07
"54263","2020/03/25","ZM",17861034,0,0,3,0,3,3,1.67963400103264e-07,0,1.67963400103264e-07,1.67963400103264e-07
"54262","2020/03/26","ZM",17861034,9,0,12,0,12,12,6.71853600413056e-07,5.03890200309792e-07,6.71853600413056e-07,6.71853600413056e-07
"54261","2020/03/27","ZM",17861034,2,0,14,0,14,14,7.83829200481898e-07,1.11975600068843e-07,7.83829200481898e-07,7.83829200481898e-07
"54260","2020/03/28","ZM",17861034,2,0,16,0,16,16,8.95804800550741e-07,1.11975600068843e-07,8.95804800550741e-07,8.95804800550741e-07
"54259","2020/03/29","ZM",17861034,12,0,28,0,28,28,1.5676584009638e-06,6.71853600413056e-07,1.5676584009638e-06,1.5676584009638e-06
"54258","2020/03/30","ZM",17861034,1,0,29,0,29,29,1.62364620099822e-06,5.59878000344213e-08,1.62364620099822e-06,1.62364620099822e-06
"54257","2020/03/31","ZM",17861034,6,0,35,0,33,35,1.95957300120475e-06,3.35926800206528e-07,1.8475974011359e-06,1.95957300120475e-06
"54256","2020/04/01","ZM",17861034,0,0,35,0,33,35,1.95957300120475e-06,0,1.8475974011359e-06,1.95957300120475e-06
"54255","2020/04/02","ZM",17861034,1,0,36,0,34,36,2.01556080123917e-06,5.59878000344213e-08,1.90358520117032e-06,2.01556080123917e-06
"54254","2020/04/03","ZM",17861034,3,1,39,1,37,39,2.18352420134243e-06,1.67963400103264e-07,2.07154860127359e-06,2.18352420134243e-06
"54253","2020/04/04","ZM",17861034,0,0,39,1,36,39,2.18352420134243e-06,0,2.01556080123917e-06,2.18352420134243e-06
"54252","2020/04/05","ZM",17861034,0,0,39,1,36,39,2.18352420134243e-06,0,2.01556080123917e-06,2.18352420134243e-06
"54251","2020/04/06","ZM",17861034,0,0,39,1,36,37,2.18352420134243e-06,0,2.01556080123917e-06,2.07154860127359e-06
"54250","2020/04/07","ZM",17861034,0,0,39,1,27,37,2.18352420134243e-06,0,1.51167060092938e-06,2.07154860127359e-06
"54249","2020/04/08","ZM",17861034,0,0,39,1,25,37,2.18352420134243e-06,0,1.39969500086053e-06,2.07154860127359e-06
"54248","2020/04/09","ZM",17861034,0,0,39,1,23,37,2.18352420134243e-06,0,1.28771940079169e-06,2.07154860127359e-06
"54247","2020/04/10","ZM",17861034,0,0,39,1,11,36,2.18352420134243e-06,0,6.15865800378634e-07,2.01556080123917e-06
"54246","2020/04/11","ZM",17861034,1,1,40,2,11,37,2.23951200137685e-06,5.59878000344213e-08,6.15865800378634e-07,2.07154860127359e-06
"54245","2020/04/12","ZM",17861034,0,0,40,2,5,37,2.23951200137685e-06,0,2.79939000172106e-07,2.07154860127359e-06
"54244","2020/04/13","ZM",17861034,3,0,43,2,8,31,2.40747540148012e-06,1.67963400103264e-07,4.4790240027537e-07,1.73562180106706e-06
"54243","2020/04/14","ZM",17861034,2,0,45,2,9,31,2.51945100154896e-06,1.11975600068843e-07,5.03890200309792e-07,1.73562180106706e-06
"54242","2020/04/15","ZM",17861034,0,0,45,2,6,29,2.51945100154896e-06,0,3.35926800206528e-07,1.62364620099822e-06
"54241","2020/04/16","ZM",17861034,3,0,48,2,9,20,2.68741440165222e-06,1.67963400103264e-07,5.03890200309792e-07,1.11975600068843e-06
"54240","2020/04/17","ZM",17861034,0,0,48,2,9,19,2.68741440165222e-06,0,5.03890200309792e-07,1.063768200654e-06
"54239","2020/04/18","ZM",17861034,4,0,52,2,13,17,2.91136560178991e-06,2.23951200137685e-07,7.27841400447477e-07,9.51792600585162e-07
"54238","2020/04/19","ZM",17861034,5,0,57,2,18,22,3.19130460196201e-06,2.79939000172106e-07,1.00778040061958e-06,1.23173160075727e-06
"54237","2020/04/20","ZM",17861034,4,1,61,3,22,25,3.4152558020997e-06,2.23951200137685e-07,1.23173160075727e-06,1.39969500086053e-06
"54236","2020/04/21","ZM",17861034,4,0,65,3,26,26,3.63920700223738e-06,2.23951200137685e-07,1.45568280089495e-06,1.45568280089495e-06
"54235","2020/04/22","ZM",17861034,0,0,65,3,26,26,3.63920700223738e-06,0,1.45568280089495e-06,1.45568280089495e-06
"54234","2020/04/23","ZM",17861034,9,0,74,3,34,35,4.14309720254718e-06,5.03890200309792e-07,1.90358520117032e-06,1.95957300120475e-06
"54233","2020/04/24","ZM",17861034,2,0,76,3,36,37,4.25507280261602e-06,1.11975600068843e-07,2.01556080123917e-06,2.07154860127359e-06
"54232","2020/04/25","ZM",17861034,8,0,84,3,41,45,4.70297520289139e-06,4.4790240027537e-07,2.29549980141127e-06,2.51945100154896e-06
"54231","2020/04/26","ZM",17861034,0,0,84,3,39,45,4.70297520289139e-06,0,2.18352420134243e-06,2.51945100154896e-06
"54230","2020/04/27","ZM",17861034,4,0,88,3,43,49,4.92692640302907e-06,2.23951200137685e-07,2.40747540148012e-06,2.74340220168664e-06
"54229","2020/04/28","ZM",17861034,1,0,89,3,41,50,4.9829142030635e-06,5.59878000344213e-08,2.29549980141127e-06,2.79939000172107e-06
"54228","2020/04/29","ZM",17861034,6,0,95,3,47,55,5.31884100327002e-06,3.35926800206528e-07,2.6314266016178e-06,3.07932900189317e-06
"54227","2020/04/30","ZM",17861034,2,0,97,3,45,57,5.43081660333887e-06,1.11975600068843e-07,2.51945100154896e-06,3.19130460196201e-06
