"date","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom"
2020-04-23,211049519,508,1.7717,1.84646693005408,9.000236,NA,2.15066191946779,4538961.63635294,4538961.63635294,3896959.57437321,3896959.57437321,1000,2.15066191946779
2020-04-24,211049519,17215,2.0157,1.89950200824366,347.002755,NA,2.15197742477525,4541738.00397675,9080699.64032969,4008889.85179359,7905849.4261668,1000,2.15197742477525
2020-04-25,211049519,11029,1.9766,1.94846100169807,217.999214,NA,2.15329373474391,4544516.06983417,13625215.7101639,4112217.57198637,12018066.9981532,1000,2.15329373474391
2020-04-26,211049519,11178,2.156,1.99322940647957,240.99768,NA,2.15461084986598,4547295.83496395,18172511.5451278,4206701.07494169,16224768.0730949,1000,2.15461084986598
2020-04-27,211049519,11569,1.8238,2.03374421367377,210.995422,NA,2.15592877063393,4550077.30040552,22722588.8455333,4292207.38064881,20516975.4537437,1000,2.15592877063393
2020-04-28,211049519,12610,2.1253,2.06999225695648,268.00033,NA,2.15724749754056,4552860.46719889,27275449.3127322,4368708.7016439,24885684.1553876,1000,2.15724749754056
2020-04-29,211049519,12660,2.0774,2.10200781871333,262.99884,NA,2.15856703107897,4555645.33638475,31831094.649117,4436277.39073688,29321961.5461245,1000,2.15856703107897
2020-04-30,211049519,12069,1.9471,2.12986961718192,234.995499,NA,2.15988737174255,4558431.9090044,36389526.5581214,4495079.58238958,33817041.128514,1000,2.15988737174255
2020-05-01,211049519,11648,2.069,2.15369730234072,240.99712,2.14930141006504,2.16120834066639,4561219.8075643,40950746.3656857,4545367.79730607,38362408.9258201,1000,2.16120834066639
2020-05-02,211049519,10022,1.9956,2.17364758901103,199.999032,NA,2.16251912508167,4563986.21176787,45514732.5774535,4587472.78136287,42949881.707183,1000,2.16251912508167
2020-05-03,211049519,14367,2.3596,2.18991015241253,339.003732,NA,2.16381238076848,4566715.62167432,50081448.1991279,4621794.84319881,47571676.5503818,1000,2.16381238076848
2020-05-04,211049519,16541,2.255,2.20270340485366,372.99955,NA,2.16508673053011,4569405.13071662,54650853.3298445,4648794.94094026,52220471.491322,1000,2.16508673053011
2020-05-05,211049519,16424,2.4355,2.212270263029,400.00652,NA,2.16634079447612,4572051.82664264,59222905.1564871,4668985.74910275,56889457.2404248,1000,2.16634079447612
2020-05-06,211049519,16650,2.2823,2.21887400423352,380.00295,NA,2.1675731901457,4574652.79177545,63797557.9482626,4682922.91315087,61572380.1535757,1000,2.1675731901457
2020-05-07,211049519,17103,2.0815,2.22279429736338,355.998945,NA,2.16878253263978,4577205.10329228,68374763.0515548,4691196.67294485,66263576.8265205,1000,2.16878253263978
2020-05-08,211049519,16949,2.2243,2.22432348148649,376.996607,NA,2.16996743476204,4579705.83352192,72954468.8850768,4694424.00868129,70958000.8352018,1000,2.16996743476204
