"date","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom"
2020-04-23,30366043,102,1.9608,1.81258683306228,2.000016,NA,1.60898072770332,488583.779636104,488583.779636104,550410.89714003,550410.89714003,15000,1.60898072770332
2020-04-24,30366043,105,1.9048,1.79203264883788,2.00004,NA,1.61410144870065,490138.739976063,978722.519612167,544169.404720151,1094580.30186018,15000,1.61410144870065
2020-04-25,30366043,105,1.9048,1.77191106089601,2.00004,NA,1.61923846683758,491698.649112441,1470421.16872461,538059.274673437,1632639.57653362,15000,1.61923846683758
2020-04-26,30366043,123,1.626,1.75228186115134,1.99998,NA,1.62439183398118,493263.522795213,1963684.69151982,532098.663438415,2164738.23997203,15000,1.62439183398118
2020-04-27,30366043,156,0.641,1.73320206010778,0.99996,NA,1.62956160216357,494833.376824478,2458518.0683443,526304.882849214,2691043.12282125,15000,1.62956160216357
2020-04-29,30366043,102,1.9608,1.71472854698095,2.000016,NA,1.63474782358249,496408.227050622,2954926.29539492,520695.207909511,3211738.33073076,15000,1.63474782358249
2020-04-30,30366043,112,3.5714,1.69703196701128,3.999968,1.77156321678322,1.63995055060197,497988.089374531,3452914.38476945,515321.456826391,3727059.78755715,15000,1.63995055060197
2020-05-03,30366043,182,1.0989,1.68043908960983,1.999998,NA,1.64516983578706,499572.979758127,3952487.36452758,510282.856539729,4237342.64409688,15000,1.64516983578706
2020-05-04,30366043,230,0.8696,1.66527696161855,2.00008,NA,1.65040573186206,501162.914211698,4453650.27873928,505678.718234182,4743021.36233106,15000,1.65040573186206
2020-05-05,30366043,219,3.1963,1.65186274284072,6.999897,NA,1.65565829169376,502757.908788792,4956408.18752807,501605.350791991,5244626.71312305,15000,1.65565829169376
2020-05-06,30366043,210,2.381,1.64052197741357,5.0001,NA,1.66092756831719,504357.979594051,5460766.16712212,498161.609085854,5742788.32220891,15000,1.66092756831719
2020-05-07,30366043,250,1.2,1.63177608533383,3,NA,1.66621361493618,505963.142783375,5966729.30990549,495505.827736188,6238294.14994509,15000,1.66621361493618
2020-05-08,30366043,249,1.6064,1.62628599835614,3.999936,NA,1.67151648492391,507573.414564083,6474302.72446958,493838.705563804,6732132.8555089,15000,1.67151648492391
2020-05-09,30366043,200,0.5,1.62472312869268,1,NA,1.67683623182342,509188.81119508,6983491.53566466,493364.123889765,7225496.97939866,15000,1.67683623182342
2020-05-10,30366043,298,0.6711,1.62778153318535,1.999878,NA,1.68217290934817,510809.348987016,7494300.88465167,494292.840313122,7719789.81971179,15000,1.68217290934817
2020-05-11,30366043,252,1.5873,1.63607771846599,3.999996,NA,1.68752657138257,512435.044302458,8006735.92895413,496812.063502801,8216601.88321459,15000,1.68752657138257
2020-05-12,30366043,250,1.6,1.64962785539442,4,NA,1.69289727198255,514065.913556049,8520801.84251018,500926.703909047,8717528.58712363,15000,1.69289727198255
2020-05-13,30366043,217,2.3041,1.66826859289107,4.999897,1.28793265869365,1.69828506537607,515701.973214676,9036503.81572486,506587.158272799,9224115.74539643,15000,1.69828506537607
2020-05-14,30366043,180,0,1.69187220938434,0,NA,1.70369000596369,517343.239797637,9553847.05552249,513754.642606698,9737870.38800313,15000,1.70369000596369
2020-05-15,30366043,177,1.1299,1.72033974073979,1.999923,NA,1.70911214831912,518989.729876806,10072836.7853993,522399.105419132,10260269.4934223,15000,1.70911214831912
2020-05-16,30366043,199,1.005,1.75334282595012,1.99995,NA,1.71455154718975,520641.460076804,10593478.2454761,532420.836465427,10792690.3298877,15000,1.71455154718975
2020-05-17,30366043,189,2.1164,1.78989904377343,3.999996,NA,1.72000825749723,522298.44707516,11115776.6925513,543521.513288829,11336211.8431765,15000,1.72000825749723
2020-05-18,30366043,212,1.8868,1.82884954345302,4.000016,NA,1.72548233433802,523960.707602488,11639737.4001538,555349.238770249,11891561.0819468,15000,1.72548233433802
2020-05-19,30366043,239,2.9289,1.86893345293275,7.000071,NA,1.73097383298393,525628.258442649,12165365.6585964,567521.135958943,12459082.2179057,15000,1.73097383298393
2020-05-20,30366043,203,1.9704,1.90877760063683,3.999912,NA,1.73648280888269,527301.116432925,12692666.7750293,579620.226983747,13038702.4448895,15000,1.73648280888269
2020-05-21,30366043,167,1.7964,1.94697561942969,2.999988,NA,1.74200931765849,528979.298464185,13221646.0734935,591219.453795535,13629921.898685,15000,1.74200931765849
2020-05-22,30366043,186,1.6129,1.98212321708807,2.999994,NA,1.74755341511398,530662.821481479,13752308.894975,601892.388413947,14231814.2870989,15000,1.74755341511398
2020-05-23,30366043,186,2.6882,2.01274346766996,5.000052,2.35178838804508,1.753115157256,532351.702491876,14284660.5974669,611190.546872352,14843004.8339713,15000,1.753115157256
2020-05-24,30366043,171,0.5848,2.03730726936227,1.000008,NA,1.75869460029411,534045.958563987,14818706.5560309,618649.601456674,15461654.435428,15000,1.75869460029411
2020-05-25,30366043,186,3.2258,2.05431863995371,5.999988,NA,1.76429180061808,535745.606821162,15354452.162852,623815.281565358,16085469.7169933,15000,1.76429180061808
2020-05-26,30366043,233,0.8584,2.06284212735284,2.000072,NA,1.76990681479772,537450.664441406,15891902.8272934,626403.527414077,16711873.2444074,15000,1.76990681479772
2020-05-27,30366043,211,4.7393,2.06235404504854,9.999923,NA,1.77553969958337,539161.148657556,16431063.975951,626255.316131678,17338128.5605391,15000,1.77553969958337
2020-05-28,30366043,259,2.7027,2.05245023953771,6.999993,NA,1.78119051190651,540877.076757452,16971941.0527084,623247.922291625,17961376.4828307,15000,1.78119051190651
2020-05-29,30366043,289,3.1142,2.03285953433615,9.000038,NA,1.78685930888037,542598.466084116,17514539.5187925,617299.000326114,18578675.4831568,15000,1.78685930888037
2020-05-30,30366043,280,1.4286,2.00369298096952,4.00008,NA,1.79254614780045,544325.334035929,18058864.8528285,608442.272189188,19187117.755346,15000,1.79254614780045
2020-05-31,30366043,273,1.0989,1.96627961870038,2.999997,NA,1.79825108614516,546057.698066806,18604922.5508953,597081.314514793,19784199.0698608,15000,1.79825108614516
2020-06-01,30366043,271,2.214,1.92229697319886,5.99994,NA,1.80397418157636,547795.575686376,19152718.1265817,583725.525469264,20367924.5953301,15000,1.80397418157636
2020-06-02,30366043,229,2.1834,1.87338745699378,4.999986,1.99999848780488,1.80971549193999,549538.98446016,19702257.1110418,568873.640747339,20936798.2360774,15000,1.80971549193999
2020-06-03,30366043,205,2.9268,1.82111601789394,5.99994,NA,1.81547507526663,551287.942009749,20253545.0530516,553000.87307356,21489799.109151,15000,1.81547507526663
2020-06-04,30366043,123,1.626,1.7670456889804,1.99998,NA,1.8212529897721,553042.466012982,20806587.5190645,536581.853745435,22026380.9628964,15000,1.8212529897721
2020-06-05,30366043,132,1.5152,1.71282287309251,2.000064,NA,1.82704929385804,554802.57420413,21361390.0932687,520116.530157106,22546497.4930535,15000,1.82704929385804
2020-06-06,30366043,126,1.5873,1.65994410693932,1.999998,NA,1.83286404611254,556568.284374075,21917958.3776428,504059.34128916,23050556.8343427,15000,1.83286404611254
2020-06-07,30366043,122,1.6393,1.60972851424144,1.999946,NA,1.8386973053107,558339.614370489,22476297.9920132,488810.852817817,23539367.6871605,15000,1.8386973053107
2020-06-08,30366043,148,0,1.56331854245741,0,NA,1.84454913041524,560116.582098018,23036414.5741113,474717.980829592,24014085.6679901,15000,1.84454913041524
2020-06-09,30366043,102,0.9804,1.52132726254889,1.000008,NA,1.85041958057711,561899.205518466,23598313.7796297,461966.890716319,24476052.5587064,15000,1.85041958057711
2020-06-10,30366043,132,1.5152,1.48389050600357,2.000064,NA,1.85630871513609,563687.502650973,24162001.2822807,450598.829125961,24926651.3878324,15000,1.85630871513609
2020-06-11,30366043,129,0.7752,1.45111849726366,1.000008,NA,1.86221659361177,565481.491569285,24727482.77385,440647.266860036,25367298.6546924,15000,1.86221659361177
2020-06-12,30366043,142,0.7042,1.42312644166893,0.999964,NA,1.86814327567506,567281.190393096,25294763.9642431,432147.187221557,25799445.8419139,15000,1.86814327567506
2020-06-13,30366043,134,1.4925,1.40002561999719,1.99995,NA,1.87408882117723,569086.617296871,25863850.5815399,425132.381779363,26224578.2236933,15000,1.87408882117723
2020-06-14,30366043,154,1.2987,1.38179246591896,1.999998,NA,1.88005329016007,570897.790512922,26434748.3720529,419595.694371713,26644173.918065,15000,1.88005329016007
2020-06-15,30366043,167,3.5928,1.36835833841985,5.999976,1.18518716049383,1.88603674285648,572714.728331599,27007463.1003845,415516.281438657,27059690.1995037,15000,1.88603674285648
2020-06-16,30366043,142,1.4085,1.359698581648,2.00007,NA,1.8920392396911,574537.449101472,27582000.5494859,412886.655973621,27472576.8554773,15000,1.8920392396911
2020-06-17,30366043,129,1.5504,1.3558349303807,2.000016,NA,1.89806084128088,576365.971229515,28158366.5207155,411713.417968423,27884290.2734457,15000,1.89806084128088
2020-06-18,30366043,130,0.7692,1.35682752338018,0.99996,NA,1.90410160843576,578200.313181296,28736566.8338968,412014.829185461,28296305.1026312,15000,1.90410160843576
2020-06-20,30366043,104,0.9615,1.36274673071739,0.99996,NA,1.91016160215922,580040.493481158,29316607.3273779,413812.258230738,28710117.3608619,15000,1.91016160215922
2020-06-21,30366043,118,0,1.37370678294464,0,NA,1.91624088364892,581886.530712412,29898493.8580903,417140.392402886,29127257.7532648,15000,1.91624088364892
2020-06-22,30366043,150,0.6667,1.38987914421691,1.00005,NA,1.92233951429734,583738.443517521,30482232.3016078,422051.29858094,29549309.0518457,15000,1.92233951429734
2020-06-23,30366043,144,1.3889,1.41149509295027,2.000016,NA,1.92845755569234,585596.250598286,31067828.5522061,428615.20686817,29977924.2587139,15000,1.92845755569234
2020-06-24,30366043,125,0.8,1.43868511143404,1,NA,1.93459506961787,587459.970716043,31655288.5229222,436871.73957266,30414795.9982866,15000,1.93459506961787
2020-06-25,30366043,125,3.2,1.47131692433538,4,NA,1.94075211805451,589329.622691844,32244618.145614,446780.729909958,30861576.7281965,15000,1.94075211805451
2020-06-26,30366043,127,1.5748,1.50924755047429,1.999996,NA,1.94692876318015,591205.225406652,32835823.3710207,458298.76015347,31319875.48835,15000,1.94692876318015
2020-06-27,30366043,110,0.9091,1.55234468542307,1.00001,NA,1.95312506737058,593086.797801529,33428910.1688222,471385.654683785,31791261.1430338,15000,1.95312506737058
2020-06-28,30366043,128,1.5625,1.60046759302529,2,NA,1.95934109320016,594974.358877831,34023884.5277,485998.677499125,32277259.8205329,15000,1.95934109320016
2020-06-29,30366043,136,2.2059,1.6533034628254,3.000024,NA,1.96557690344242,596867.927697394,34620752.4553974,502042.84044205,32779302.660975,15000,1.96557690344242
2020-06-30,30366043,106,0.9434,1.7103391749963,1.000004,NA,1.97183256107071,598767.523382734,35219519.9787802,519362.329325222,33298664.9903002,15000,1.97183256107071
2020-07-01,30366043,127,0,1.77097084901205,0,NA,1.97810812925797,600673.165116971,35820193.1438971,537773.769528464,33836438.7598286,15000,1.97810812925797
2020-07-09,30366043,101,1.9802,1.83449109241693,2.000002,1.95052759276879,1.98440367135407,602584.872136957,36422778.0160341,557062.353954494,34393501.1137831,15000,1.98440367135407
2020-07-13,30366043,106,2.8302,1.90005262047276,3.000012,NA,1.99071925088351,604502.663732566,37027280.6797666,576970.795755386,34970471.9095385,15000,1.99071925088351
2020-07-15,30366043,105,0.9524,1.96651021421106,1.00002,NA,1.9970549315711,606426.5592545,37633707.2390212,597151.337246722,35567623.2467853,15000,1.9970549315711
2020-07-25,30366043,107,4.6729,2.03247605284719,5.000003,NA,2.00341077734396,608356.578114902,38242063.817136,617182.55217228,36184805.7989575,15000,2.00341077734396
2020-07-26,30366043,111,1.8018,2.09638637367309,1.999998,NA,2.00978685233222,610292.739787547,38852356.5569236,636589.58767571,36821395.3866332,15000,2.00978685233222
2020-07-27,30366043,124,0.8065,2.15651206042887,1.00006,NA,2.01618322086958,612235.063808042,39464591.6207316,654847.379570017,37476242.7662033,15000,2.01618322086958
2020-07-28,30366043,109,0.9174,2.21118563497052,0.999966,NA,2.02259994749404,614183.569774018,40078775.1905057,671449.580724971,38147692.3469282,15000,2.02259994749404
2020-07-29,30366043,133,3.7594,2.25936332090753,5.000002,NA,2.02903709694848,616138.277345328,40694913.467851,686079.237553009,38833771.5844812,15000,2.02903709694848
2020-07-30,30366043,111,5.4054,2.3001621319305,5.999994,NA,2.03549473418135,618099.206244245,41313012.6740952,698468.222051734,39532239.806533,15000,2.03549473418135
2020-07-31,30366043,111,0.9009,2.3327396911479,0.999999,NA,2.0419729243473,620066.376255658,41933079.0503509,708360.737692038,40240600.544225,15000,2.0419729243473
2020-08-02,30366043,110,2.7273,2.35632638085597,3.00003,NA,2.04847173280784,622039.807227273,42555118.8575782,715523.082031067,40956123.6262561,15000,2.04847173280784
2020-08-03,30366043,125,2.4,2.37095558109162,3,NA,2.05499122513198,624019.519069805,43179138.376648,719965.391265182,41676089.0175213,15000,2.05499122513198
2020-08-04,30366043,140,2.1429,2.3779411497771,3.00006,NA,2.06153146709694,626005.531757188,43805143.9084052,722086.632056009,42398175.6495773,15000,2.06153146709694
2020-08-05,30366043,115,2.6087,2.37880542977862,3.000005,NA,2.06809252468873,627997.865326766,44433141.7737319,722349.079692909,43120524.7292702,15000,2.06809252468873
2020-08-06,30366043,123,4.878,2.37512951170696,5.99994,NA,2.07467446410288,629996.5398795,45063138.3136114,721232.848830627,43841757.5781008,15000,2.07467446410288
2020-08-07,30366043,102,1.9608,2.36851209343605,2.000016,NA,2.08127735174506,632001.575580165,45695139.8891916,719223.40075299,44560980.9788538,15000,2.08127735174506
2020-08-10,30366043,122,0.8197,2.3604581854424,1.000034,NA,2.08790125423176,634012.992657555,46329152.8818491,716777.747588458,45277758.7264423,15000,2.08790125423176
2020-08-11,30366043,129,0.7752,2.35238351576795,1.000008,NA,2.09454623839097,636030.811404684,46965183.6932538,714325.789923007,45992084.5163653,15000,2.09454623839097
2020-08-12,30366043,113,1.7699,2.34568328776827,1.999987,2.32784713870029,2.10121237126283,638055.052178991,47603238.7454328,712291.195807527,46704375.7121728,15000,2.10121237126283
2020-08-13,30366043,118,2.5424,2.3417383556777,3.000032,NA,2.10789972000951,640085.735374969,48243324.4808078,711093.276032585,47415468.9882054,15000,2.10789972000951
2020-08-14,30366043,118,3.3898,2.34180853002649,3.999964,NA,2.11460835200932,642122.881452741,48885447.3622605,711114.585205512,48126583.5734109,15000,2.11460835200932
2020-08-16,30366043,102,2.9412,2.34640206853603,3.000024,NA,2.12133833499792,644166.510980952,49529613.8732415,712509.461084541,48839093.0344954,15000,2.12133833499792
2020-08-17,30366043,111,0,2.35574927073402,0,NA,2.12808973692728,646216.644593925,50175830.5178354,715347.836523278,49554440.8710187,15000,2.12808973692728
2020-08-18,30366043,107,3.7383,2.37011100372245,3.999981,NA,2.13486262596563,648273.302991654,50824103.8208271,719708.926538091,50274149.7975568,15000,2.13486262596563
2020-08-19,30366043,109,2.7523,2.38978436362643,3.000007,NA,2.14165707049816,650336.506940012,51474440.3277671,725682.947466079,50999832.7450229,15000,2.14165707049816
2020-08-20,30366043,157,2.5478,2.41519054168568,4.000046,NA,2.14847313912769,652406.277270964,52126846.605038,733397.798420205,51733230.5434431,15000,2.14847313912769
2020-08-21,30366043,161,1.8634,2.44704672034121,3.000074,NA,2.15531090067538,654482.634882774,52781329.2399208,743071.259328901,52476301.802772,15000,2.15531090067538
2020-08-22,30366043,150,3.3333,2.48619205779144,4.99995,NA,2.16217042418143,656565.600740215,53437894.840661,754958.149331535,53231259.9521035,15000,2.16217042418143
2020-08-23,30366043,148,2.7027,2.53356478213833,3.999996,NA,2.16905177890575,658655.195874786,54096550.0365358,769343.37117698,54000603.3232805,15000,2.16905177890575
2020-08-24,30366043,112,1.7857,2.59021803795097,1.999984,NA,2.17595503432871,660751.441384919,54757301.4779207,786546.723197947,54787150.0464784,15000,2.17595503432871
2020-08-28,30366043,116,1.7241,2.65697426253954,1.999956,NA,2.18288026015176,662854.358436197,55420155.8363569,806817.947061691,55593967.9935401,15000,2.18288026015176
2020-08-31,30366043,109,1.8349,2.73424295161514,2.000041,NA,2.18982752629824,664963.968261561,56085119.8046185,830281.390411923,56424249.3839521,15000,2.18982752629824
2020-09-01,30366043,117,5.1282,2.82248082482561,5.999994,NA,2.19679690291399,667080.29216153,56752200.09678,857075.7409333,57281325.1248854,15000,2.19679690291399
2020-09-02,30366043,163,1.8405,2.92223043530782,3.000015,NA,2.2037884603681,669203.351504416,57421403.4482844,887365.750544659,58168690.87543,15000,2.2037884603681
2020-09-03,30366043,115,2.6087,3.03407559129894,3.000005,NA,2.21080226925364,671333.167726536,58092736.616011,921328.698706341,59090019.5741364,15000,2.21080226925364
2020-09-04,30366043,109,1.8349,3.15805767497826,2.000041,NA,2.21783840038832,673469.76233243,58766206.3783434,958977.151548698,60048996.7256851,15000,2.21783840038832
2020-09-07,30366043,102,4.902,3.29373151695917,5.00004,NA,2.22489692481527,675613.156895082,59441819.5352385,1000175.92874437,61049172.6544294,15000,2.22489692481527
2020-09-08,30366043,107,2.8037,3.44050580383203,2.999959,NA,2.23197791380369,677763.37305613,60119582.9082946,1044745.47180913,62093918.1262386,15000,2.23197791380369
2020-10-06,30366043,111,4.5045,3.59760798388828,4.999995,NA,2.23908143884962,679920.432526093,60799503.3408207,1092451.18735895,63186369.3135975,15000,2.23908143884962
