"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-24,38041757,120,7.5,4.10834169007468,2.18588945940127,6.0307939207481,9,7.5,3.81780178714872,2.24250979577524,5.3930937785222,1452358.87860877,1452358.87860877,1562885.3624679,1562885.3624679,1500,0.0381780178714872,0.053930937785222,0.0224250979577524
2020-04-25,38041757,102,6.8627,4.12640029249078,2.38528644381078,5.86751414117078,6.999954,6.8627,3.87887152203025,2.40239423127007,5.35534881279043,1475590.87875295,2927949.75736172,1569755.17211663,3132640.53458454,1500,0.0387887152203025,0.0535534881279043,0.0240239423127007
2020-04-26,38041757,114,1.7544,4.14789226631048,2.56792947013674,5.72785506248423,2.000016,1.7544,3.94213978208196,2.55813116576199,5.32614839840192,1499659.23649995,4427608.99386167,1577931.09657163,4710571.63115616,1500,0.0394213978208196,0.0532614839840192,0.0255813116576199
2020-04-27,38041757,103,1.9417,4.17323980362917,2.73368848666451,5.61279112059383,1.999951,1.9417,4.00789455426027,2.70925321091631,5.30653589760424,1524673.50714793,5952282.5010096,1587573.74512389,6298145.37628005,1500,0.0400789455426027,0.0530653589760424,0.0270925321091631
2020-04-28,38041757,116,3.4483,4.20288418008511,2.88205919826591,5.5237091619043,4.000028,3.4483,4.0764416739013,2.85518253557341,5.29770081222919,1550750.03583227,7503032.53684186,1598850.98677942,7896996.36305947,1500,0.040764416739013,0.0529770081222919,0.0285518253557341
2020-04-29,38041757,128,3.9063,4.23728971653547,3.01264185230753,5.46193758076342,5.000064,3.9063,4.14810645191794,2.99537399804512,5.30083890579077,1578012.57653995,9081045.11338181,1611939.45735041,9508935.82040988,1500,0.0414810645191794,0.0530083890579077,0.0299537399804512
2020-05-03,38041757,154,2.5974,4.2769482845045,3.12578568105909,5.42811088794991,3.999996,2.5974,4.22323553943678,3.12950055810348,5.31697052077007,1606593.00145018,10687638.114832,1627026.27340687,11135962.0938167,1500,0.0422323553943678,0.0531697052077007,0.0312950055810348
2020-05-04,38041757,173,4.6243,4.32238442118686,3.22324692088014,5.42152192149359,8.000039,4.6243,4.30219905536298,3.25766045223977,5.34673765848618,1636632.11029748,12324270.2251295,1644310.97811376,12780273.0719305,1500,0.0430219905536298,0.0534673765848619,0.0325766045223977
2020-05-05,38041757,186,2.1505,4.37416113392017,3.30858262154057,5.43973964629977,3.99993,2.1505,4.38539300592564,3.38056065821959,5.39022535363169,1668280.55080923,13992550.7759387,1664007.74935436,14444280.8212849,1500,0.0438539300592564,0.0539022535363169,0.0338056065821959
2020-05-06,38041757,168,4.1667,4.43288649063418,3.38703464766358,5.47873833360478,7.000056,4.1667,4.47324202941567,3.49961188221107,5.44687217662028,1701699.86285218,15694250.6387909,1686347.90685288,16130628.7281378,1500,0.0447324202941567,0.0544687217662028,0.0349961188221107
2020-05-07,38041757,200,8,4.49922111232185,3.46488468081991,5.5335575438238,16,8,4.56620250417539,3.61687157913221,5.51553342921857,1737063.66076632,17431314.2995572,1711582.76244218,17842211.4905799,1500,0.0456620250417539,0.0551553342921857,0.0361687157913221
2020-05-08,38041757,212,4.2453,4.5738155856203,3.54792125271157,5.59970991852904,9.000036,4.2453,4.66472581790905,3.73456782568553,5.59488381013258,1774543.66036522,19205857.9599224,1739959.8107098,19582171.3012897,1500,0.0466472581790905,0.0559488381013258,0.0373456782568553
2020-05-09,38041757,182,7.6923,4.65707600471086,3.63846749243783,5.67568451698389,13.999986,7.6923,4.76912276989955,3.85384610529221,5.68439943450689,1814258.09515686,21020116.0550793,1771633.53701741,21353804.8383071,1500,0.0476912276989955,0.0568439943450689,0.0385384610529221
2020-05-10,38041757,172,2.907,4.74937432571516,3.73670638915491,5.76204226227541,5.00004,2.907,4.87967905377219,3.97515284055129,5.78420526699308,1856315.64801591,22876431.7030952,1806745.44000895,23160550.2783161,1500,0.0487967905377219,0.0578420526699308,0.0397515284055129
2020-05-11,38041757,164,6.0976,4.85112995842794,3.84192172548609,5.86033819136978,10.000064,6.0976,4.9967007353774,4.09866829008821,5.89473318066659,1900832.75176948,24777264.4548647,1845455.07053936,25006005.3488555,1500,0.049967007353774,0.0589473318066659,0.0409866829008822
2020-05-12,38041757,176,5.1136,4.96281274499496,3.95318625833557,5.97243923165436,8.999936,5.1136,5.12051560250726,4.2245614722768,6.01646973273771,1947934.1026529,26725198.5575176,1887941.16481601,26893946.5136715,1500,0.0512051560250726,0.0601646973273771,0.042245614722768
2020-05-13,38041757,174,5.7471,5.08494634913878,4.07000186608366,6.09989083219391,9.999954,5.7471,5.25147462408963,4.35323792826925,6.14971131991001,1997753.21541284,28722951.7729304,1934402.93371975,28828349.4473912,1500,0.0525147462408963,0.0614971131991001,0.0435323792826925
2020-05-14,38041757,154,2.5974,5.2181120888489,4.19283694442445,6.24338723327334,3.999996,2.5974,5.38995352808511,4.48554163332373,6.2943654228465,2050433.02356706,30773384.7964975,1985061.52082752,30813410.9682187,1500,0.0538995352808511,0.062943654228465,0.0448554163332373
2020-05-15,38041757,215,5.5814,5.36295324931941,4.3234699976396,6.40243650099921,12.00001,5.5814,5.53635450760673,4.62287202379459,6.44983699141886,2106126.5284423,32879511.3249398,2040161.64312969,32853572.6113484,1500,0.0553635450760673,0.0644983699141886,0.0462287202379459
2020-05-16,38041757,248,2.8226,5.52017991808589,4.46505868104438,6.5753011551274,7.000048,2.8226,5.69110806564373,4.76718665357749,6.61502947770997,2164997.50093959,35044508.8258794,2099973.43040103,34953546.0417495,1500,0.0569110806564373,0.0661502947770997,0.0476718665357749
2020-05-17,38041757,253,4.7431,5.69057438997357,4.62189643926424,6.7592523406829,12.000043,4.7431,5.85467500971081,4.92087178992553,6.78847822949608,2227221.24033391,37271730.0662133,2164794.48133798,37118340.5230874,1500,0.0585467500971081,0.0678847822949608,0.0492087178992553
2020-05-18,38041757,252,6.3492,5.87486441773339,4.79843063993923,6.95129819552755,15.999984,6.3492,6.02747859149951,5.08626209267827,6.96869509032074,2292958.75900526,39564688.8252185,2234901.6458736,39353242.168961,1500,0.0602747859149951,0.0696869509032074,0.0508626209267827
2020-05-19,38041757,224,8.0357,6.07256487393389,4.99479660550969,7.15033314235808,17.999968,8.0357,6.20929579661449,5.26346874791581,7.15512284531317,2362125.2183593,41926814.0435778,2310110.37300928,41663352.5419703,1500,0.0620929579661449,0.0715512284531317,0.0526346874791581
2020-05-20,38041757,284,5.2817,6.28236138405236,5.2074305149566,7.35729225314812,15.000028,5.2817,6.39947079319681,5.45082091661756,7.34812066977606,2434471.1284339,44361285.1720117,2389920.65158304,44053273.1935534,1500,0.0639947079319681,0.0734812066977606,0.0545082091661756
2020-05-21,38041757,246,5.6911,6.50269626581908,5.43136569898009,7.57402683265808,14.000106,5.6911,6.59723276023757,5.64607497123951,7.54839054923563,2509703.25537397,46870988.4273857,2473739.91189097,46527013.1054443,1500,0.0659723276023757,0.0754839054923563,0.0564607497123951
2020-05-22,38041757,253,8.3004,6.7317377792847,5.66098309529855,7.80249246327085,21.000012,8.3004,6.80168601456527,5.84678542326177,7.75658660586877,2587480.8655639,49458469.2929496,2560871.32787268,49087884.433317,1500,0.0680168601456527,0.0775658660586877,0.0584678542326177
2020-05-23,38041757,221,6.7873,6.96734706982066,5.89095076791137,8.04374337172996,14.999933,6.7873,7.01179763779467,6.05069195276666,7.97290332282269,2667411.01870159,52125880.3116512,2650501.2416478,51738385.6749648,1500,0.0701179763779467,0.0797290332282269,0.0605069195276666
2020-05-24,38041757,200,5.5,7.20705103202136,6.11726385462972,8.296838209413,11,5.5,7.22638644696312,6.25608967000117,8.19668322392508,2749044.37203465,54874924.6836858,2741688.84046756,54480074.5154324,1500,0.0722638644696312,0.0819668322392508,0.0625608967000117
2020-05-25,38041757,236,8.8983,7.44802306394707,6.33806562071514,8.557980507179,20.999988,8.8983,7.44411374522597,6.46210066910429,8.42612682134766,2831871.66176246,57706796.3454483,2833358.8352907,57313433.3507231,1500,0.0744411374522597,0.0842612682134766,0.0646210066910429
2020-05-26,38041757,267,6.7416,7.68707391339209,6.55388900743697,8.8202588193472,18.000072,6.7416,7.66347634019918,6.66875718669283,8.65819549370553,2915321.04709106,60622117.3925394,2924297.97854301,60237731.3292661,1500,0.0766347634019918,0.0865819549370553,0.0666875718669283
2020-05-27,38041757,281,6.4057,7.92065495846978,6.76715561421977,9.07415430271978,18.000017,6.4057,7.88280235907995,6.87683443846003,8.88877027969987,2998756.51823146,63620873.9107708,3013156.31210952,63250887.6413756,1500,0.0788280235907995,0.0888877027969987,0.0687683443846003
2020-05-28,38041757,349,9.1691,8.14496017675457,6.98094271855628,9.30897763495285,32.000159,9.1691,8.10027408094385,7.08736554545558,9.11318261643212,3081486.58220664,66702360.4929775,3098485.95818774,66349373.5995633,1500,0.0810027408094385,0.0911318261643212,0.0708736554545558
2020-05-29,38041757,364,6.5934,8.35804572841988,7.1959246173595,9.52016683948026,23.999976,6.5934,8.3145192369025,7.29996631275306,9.32907216105194,3162989.2038207,69865349.6967982,3179547.44595437,69528921.0455177,1500,0.083145192369025,0.0932907216105194,0.0729996631275306
2020-05-30,38041757,365,9.863,8.56024492815162,7.40894765483253,9.71154220147072,35.99995,9.863,8.52472531743173,7.51216213493071,9.53728849993275,3242955.29017486,73108304.986973,3256467.57417227,72785388.61969,1500,0.0852472531743173,0.0953728849993275,0.0751216213493071
2020-05-31,38041757,383,11.7493,8.7521879887441,7.61501603691526,9.88935994057294,44.999819,11.7493,8.73008591389389,7.72064400686382,9.73952782092396,3321078.06925474,76429383.0562278,3329486.08686122,76114874.7065512,1500,0.0873008591389389,0.0973952782092396,0.0772064400686382
2020-06-01,38041757,331,9.9698,8.93468837346592,7.80874687832335,10.0606298686085,33.000038,9.9698,8.92977593872929,7.92195110993334,9.93760076752524,3397043.66325587,79826426.7194836,3398912.43974116,79513787.1462924,1500,0.089297759387293,0.0993760076752525,0.0792195110993334
2020-06-02,38041757,350,6.8571,9.10873014407386,7.98596880758805,10.2314914805597,23.99985,6.8571,9.12295590369255,8.11314366686929,10.1327681405158,3470532.71609987,83296959.4355835,3465120.98719433,82978908.1334867,1500,0.0912295590369255,0.101327681405158,0.0811314366686929
2020-06-03,38041757,306,12.7451,9.27545544500083,8.14528619386545,10.4056246961362,39.000006,12.7451,9.30877659675512,8.29241290970853,10.3251402838017,3541222.17261045,86838181.608194,3528546.22103049,86507454.3545172,1500,0.0930877659675512,0.103251402838017,0.0829241290970853
2020-06-04,38041757,274,10.219,9.43615271329829,8.28905744352042,10.5832479830762,28.00006,10.219,9.48638413732422,8.45946767044924,10.5133006041992,3608787.20160743,90446968.8098014,3589678.28534184,90097132.639859,1500,0.0948638413732422,0.105133006041992,0.0845946767044924
2020-06-05,38041757,313,11.1821,9.59224616004927,8.42331990262105,10.7611724174775,34.999973,11.1821,9.65492538313362,8.61555855918821,10.694292207079,3672903.25278301,94119872.0625844,3649058.97504778,93746191.6149068,1500,0.0965492538313362,0.10694292207079,0.0861555855918821
2020-06-06,38041757,305,9.1803,9.74528702409884,8.55669699208991,10.9338770561078,27.999915,9.1803,9.8135536557355,8.76310289755343,10.8640044139176,3733248.23477952,97853120.2973639,3707278.40866021,97453470.023567,1500,0.098135536557355,0.108640044139176,0.0876310289755343
2020-06-07,38041757,302,8.6093,9.89694100868643,8.69867755745558,11.0952044599173,26.000086,8.6093,9.96143450490862,8.90495595457576,11.0179130552415,3789504.70807149,101642625.005435,3764970.24895784,101218440.272525,1500,0.0996143450490862,0.110179130552415,0.0890495595457576
2020-06-08,38041757,281,8.1851,10.048114882949,8.85426227214261,11.2419674937555,23.000131,8.1851,10.0977174791665,9.04212241971508,11.1533125386179,3841349.14597105,105483974.151406,3822479.44685231,105040919.719377,1500,0.100977174791665,0.111533125386179,0.0904212241971508
2020-06-09,38041757,279,12.1864,10.1979750472701,9.01879338575618,11.3771567087841,34.000056,12.1864,10.2215042752313,9.1716357438623,11.2713728066003,3888439.81812811,109372413.969535,3879488.88640314,108920408.60578,1500,0.102215042752313,0.112713728066003,0.091716357438623
2020-06-10,38041757,280,10,10.345422329408,9.18442915377815,11.5064155050378,28,10,10.3319151924671,9.28928725940776,11.3745431255265,3930442.07096443,113302856.040499,3935580.42317713,112855989.028957,1500,0.103319151924671,0.113745431255265,0.0928928725940776
2020-06-11,38041757,314,9.2357,10.4893025864559,9.34263173364056,11.6359734392712,29.000098,9.2357,10.4281056228159,9.390858037793,11.4653532078388,3967034.60073496,117269890.641234,3990315.00093426,116846304.029892,1500,0.104281056228159,0.114653532078388,0.09390858037793
2020-06-12,38041757,406,11.0837,10.6284099219537,9.48607152156569,11.7707483223418,44.999822,11.0837,10.5092744101448,9.47300408193986,11.5455447383497,3997912.63357046,121267803.274804,4043233.87547353,120889537.905365,1500,0.105092744101448,0.115455447383497,0.0947300408193986
2020-06-13,38041757,360,9.4444,10.7614912053775,9.61051459335244,11.9124678174025,33.99984,9.4444,10.5746722721588,9.53396812008252,11.615376424235,4022791.12932102,125290594.404125,4093860.33392607,124983398.239291,1500,0.105746722721588,0.11615376424235,0.0953396812008252
2020-06-14,38041757,332,11.1446,10.8872519657584,9.71599288563177,12.058511045885,37.000072,11.1446,10.6236101835124,9.57392162419806,11.6732987428267,4041407.97063903,129332002.374764,4141701.93679153,129125100.176083,1500,0.106236101835124,0.116732987428267,0.0957392162419806
2020-06-15,38041757,282,6.7376,11.0043637156321,9.80663893755684,12.2020884937074,19.000032,6.7376,10.6554676118654,9.59481292205657,11.7161223016742,4053527.09611953,133385529.470884,4186253.30409694,133311353.48018,1500,0.106554676118654,0.117161223016742,0.0959481292205657
2020-06-16,38041757,246,12.6016,11.1114727417468,9.88926474508073,12.3336807384129,30.999936,12.6016,10.6697004931098,9.59976432239975,11.7396366638199,4058941.53421664,137444471.005101,4226999.45953656,137538352.939716,1500,0.106697004931098,0.117396366638199,0.0959976432239975
2020-06-17,38041757,276,9.058,11.2072103748988,9.97127969180124,12.4431410579964,25.00008,9.058,10.6658488280814,9.59217198072884,11.7395256754339,4057476.29316607,141501947.298267,4263419.7372978,141801772.677014,1500,0.106658488280814,0.117395256754339,0.0959217198072884
2020-06-18,38041757,240,7.5,11.2896554999285,10.0563510860676,12.5229599137895,18,7.5,10.6436136954451,9.57399545773206,11.7132319331581,4049017.65803993,145550964.956307,4294783.31141995,146096555.988434,1500,0.106436136954451,0.117132319331581,0.0957399545773206
2020-06-19,38041757,273,9.8901,11.3545817053329,10.1362992377144,12.5728641729514,26.999973,9.8901,10.6030829667091,9.54306167258552,11.6631042608326,4033599.05670385,149584564.013011,4319482.3807092,150416038.369143,1500,0.106030829667091,0.116631042608326,0.0954306167258552
2020-06-20,38041757,267,7.1161,11.397142125251,10.1981171373458,12.5961671131561,18.999987,7.1161,10.5445142921037,9.49576106088826,11.5932675233191,4011318.50383236,153595882.516843,4335673.11223261,154751711.481376,1500,0.105445142921037,0.115932675233191,0.0949576106088826
2020-06-21,38041757,233,12.0172,11.4125384176126,10.2284740232514,12.5966028119737,28.000076,12.0172,10.4682564134666,9.42883343512915,11.5076793918041,3982308.6669479,157578191.183791,4341530.13235982,159093241.613736,1500,0.104682564134666,0.115076793918041,0.0942883343512915
2020-06-22,38041757,274,17.5182,11.3961221286462,10.2162891731996,12.5759550840927,47.999868,17.5182,10.374745781608,9.34026298879348,11.4092285744225,3946735.57960707,161524926.763398,4335285.0876028,163428526.701338,1500,0.10374745781608,0.114092285744225,0.0934026298879348
2020-06-23,38041757,278,18.705,11.3435131990949,10.1550037689038,12.5320226292859,51.9999,18.705,10.2645024628957,9.22985514622876,11.2991497795627,3904797.08419381,165429723.847592,4315271.72646261,167743798.427801,1500,0.102645024628957,0.112991497795627,0.0922985514622876
2020-06-24,38041757,280,19.2857,11.2507325291846,10.0435748570759,12.4578902012932,53.99996,8.18858459175233,10.1381253877887,9.09935292757245,11.176897848005,3856721.02437789,169286444.87197,4279976.32947235,172023774.757273,1500,0.101381253877887,0.11176897848005,0.0909935292757245
2020-06-25,38041757,263,13.6882,11.11434420578,9.88565940424124,12.3430290073188,35.999966,13.6882,9.99628700123107,8.9520681957573,11.0405058067048,3802763.21003091,173089208.082,4228091.81490642,176251866.57218,1500,0.0999628700123107,0.110405058067048,0.089520681957573
2020-06-26,38041757,232,7.7586,10.9316016612522,9.68750824671753,12.1756950757868,17.999952,7.7586,9.83972738086555,8.7921663710366,10.8872883906945,3743205.17969134,176832413.261692,4158573.34018152,180410439.912361,1500,0.0983972738086555,0.108872883906945,0.087921663710366
2020-06-27,38041757,260,9.6154,10.7005907880078,9.45554265966349,11.9456389163522,25.00004,9.6154,9.66924789403619,8.62380578814064,10.7146899999318,3678351.78757687,180510765.049269,4070692.74513833,184481132.6575,1500,0.096692478940362,0.107146899999318,0.0862380578814064
