"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,25203200,983,0.9156,0.941182914321153,0.735806353370534,1.14655947527177,9.000348,0.9156,0.923004477202309,0.79193384370588,1.05407511069874,232626.664398252,232626.664398252,237208.212262189,237208.212262189,1500,0.00923004477202309,0.0105407511069874,0.0079193384370588
2020-04-24,25203200,1050,0.5714,0.927982491891942,0.742785651701173,1.11317933208271,5.9997,0.5714,0.922890998065942,0.792692840151783,1.0530891559801,232598.064024556,465224.728422808,233881.28339651,471089.495658699,1500,0.00922890998065942,0.010530891559801,0.00792692840151783
2020-04-25,25203200,1090,1.1009,0.91495075723697,0.747529782639723,1.08237173183422,11.99981,1.1009,0.922777532877931,0.793448350680328,1.05210671507553,232569.467166291,697794.195589099,230596.869247948,701686.364906647,1500,0.00922777532877931,0.0105210671507553,0.00793448350680328
2020-04-26,25203200,1170,0.8547,0.902122141569416,0.750047672501707,1.05419661063712,9.99999,0.8547,0.922664081636537,0.794200311109924,1.05112785216315,232540.87382302,930335.069412118,227363.647584023,929050.01249067,1500,0.00922664081636537,0.0105112785216315,0.00794200311109924
2020-04-27,25203200,1012,1.3834,0.889529056414288,0.750358569385478,1.0286995434431,14.000008,1.3834,0.922550644340023,0.794948655812497,1.05015263286755,232512.283994305,1162847.35340642,224189.787146206,1153239.79963688,1500,0.00922550644340023,0.0105015263286755,0.00794948655812497
2020-04-28,25203200,1024,0.9766,0.877201979893043,0.748540976530572,1.00586298325551,10.000384,0.9766,0.922437220986653,0.795693317684463,1.04918112428884,232483.697679708,1395331.05108613,221082.969396404,1374322.76903328,1500,0.00922437220986653,0.0104918112428884,0.00795693317684463
2020-04-29,25203200,1059,0.7554,0.86516955378564,0.74477618625405,0.98556292131723,7.999686,0.7554,0.922323811574691,0.796434228116491,1.04821339503289,232455.114878792,1627786.16596492,218050.412979702,1592373.18201298,1500,0.00922323811574691,0.0104821339503289,0.00796434228116491
2020-04-30,25203200,930,0.9677,0.853458690138127,0.739368680554533,0.967548699721721,8.99961,0.873222896348378,0.922210416102399,0.797171316962019,1.04724951524278,232426.53559112,1860212.70155604,215098.900592892,1807472.08260587,1500,0.00922210416102399,0.0104724951524278,0.00797171316962019
2020-05-01,25203200,831,0.4813,0.842094686293136,0.732728028580669,0.951461344005603,3.999603,NA,0.922097034568041,0.797904512504539,1.04628955663154,232397.959816253,2092610.6613723,212234.807975832,2019706.89058171,1500,0.00922097034568041,0.0104628955663154,0.00797904512504539
2020-05-02,25203200,671,1.4903,0.83110188285887,0.725309773627612,0.936893992090127,9.999913,NA,0.921983666969886,0.798633741423519,1.04533359251625,232369.387553754,2324980.04892605,209464.269740687,2229171.16032239,1500,0.00921983666969886,0.0104533359251625,0.00798633741423519
2020-05-03,25203200,1893,0.7396,0.820529940304765,0.71749122130929,0.923568659300239,14.000628,NA,0.921870313306363,0.799358928754039,1.04438169785869,232340.818803229,2557320.86772928,206799.80191489,2435970.96223728,1500,0.00921870313306363,0.0104438169785869,0.00799358928754039
2020-05-04,25203200,2038,0.9323,0.810464220539541,0.709500756184392,0.91142768489469,19.000274,NA,0.921756973576145,0.800079997851312,1.04343394930098,232312.253564343,2789633.12129362,204262.918431022,2640233.8806683,1500,0.00921756973576145,0.0104343394930098,0.00800079997851312
2020-05-05,25203200,1926,0.8827,0.800988977082435,0.701504901098356,0.900473053066514,17.000802,NA,0.92164364777792,0.80079687036873,1.04249042518711,232283.691836765,3021916.81313039,201874.85387204,2842108.73454034,1500,0.0092164364777792,0.0104249042518711,0.0080079687036873
2020-05-06,25203200,1959,0.6126,0.792184865895891,0.693659315378212,0.890710416413571,12.000834,NA,0.921530335910378,0.801509466229297,1.04155120559146,232255.133620164,3254171.94675055,199655.936121473,3041764.67066182,1500,0.00921530335910378,0.0104155120559146,0.00801509466229297
