"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,11455519,703,0.2845,0.881129989157643,0.575929797496654,1.18633018081863,2.000035,0.2845,0.80667771584606,0.52120658555534,1.09214884613678,92409.1190075114,92409.1190075114,100938.013322652,100938.013322652,1500,0.0080667771584606,0.0109214884613678,0.0052120658555534
2020-04-24,11455519,850,0.7059,0.858608445484909,0.592413756888398,1.12480313408142,6.00015,0.7059,0.798136652102004,0.522154203271545,1.07411910093246,91430.695827509,183839.81483502,98358.0536081284,199296.06693078,1500,0.00798136652102004,0.0107411910093246,0.00522154203271545
2020-04-25,11455519,846,1.182,0.836151741647018,0.602672778069706,1.06963070522433,9.99972,1.182,0.789683630740021,0.522497190041841,1.0568700714382,90462.3583593129,274302.173194333,95785.521633205,295081.588563985,1500,0.00789683630740021,0.010568700714382,0.00522497190041841
2020-04-26,11455519,860,0.9302,0.813846223784607,0.606867641429456,1.02082480613976,7.99972,0.9302,0.781319630191753,0.522244361682063,1.04039489870144,89504.218687346,363806.391881679,93230.3087964282,388311.897360413,1500,0.00781319630191753,0.0104039489870144,0.00522244361682063
2020-04-27,11455519,902,1.3304,0.791770761198833,0.605245988296705,0.978295534100961,12.000208,1.3304,0.773045558625083,0.521408225293992,1.02468289195617,88556.3808469525,452362.772728632,90701.449985577,479013.34734599,1500,0.00773045558625083,0.0102468289195617,0.00521408225293992
2020-04-28,11455519,816,0.8578,0.769996874375802,0.598328152005096,0.941665596746508,6.999648,0.872963879048583,0.764862255961253,0.520006439917229,1.00971807200528,87618.94105547,539981.713784102,88207.1382435261,567220.485589516,1500,0.00764862255961253,0.0100971807200528,0.00520006439917229
2020-04-29,11455519,751,1.1984,0.748588931837539,0.587020595169558,0.910157268505521,8.999984,NA,0.756770495890743,0.518062492585196,0.995478499196289,86691.9879431582,626673.70172726,85754.7473185464,652975.232908063,1500,0.00756770495890743,0.00995478499196289,0.00518062492585196
2020-04-30,11455519,716,0.838,0.727604405443813,0.572563627520028,0.882645183367597,6.00008,NA,0.748770987885562,0.515605507204109,0.981936468567014,85775.6027837182,712449.304510978,83350.860910453,736326.093818516,1500,0.00748770987885562,0.00981936468567014,0.00515605507204109
2020-05-01,11455519,746,0.6702,0.707094174244152,0.556314982170718,0.857873366317587,4.999692,NA,0.740864379205743,0.512669147931547,0.969059610479938,84869.8597241459,797319.164235124,81001.307478432,817327.401296948,1500,0.00740864379205743,0.00969059610479938,0.00512669147931548
2020-05-02,11455519,714,0.5602,0.687106900246026,0.539462829137494,0.834750971354558,3.999828,NA,0.733051384211697,0.509289377210021,0.956813391213374,83974.840598134,881294.004833258,78711.6615079946,896039.062804942,1500,0.00733051384211697,0.00956813391213374,0.00509289377210021
