"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,50339443,2262,1.2378,1.22709785396865,0.985207634016569,1.46898807392073,27.999036,1.2378,1.22470906938063,1.02234518718516,1.42707295157609,616511.72389669,616511.72389669,617714.224752772,617714.224752772,1500,0.0122470906938063,0.0142707295157609,0.0102234518718516
2020-04-24,50339443,2131,1.2201,1.22079807863154,1.00592510862448,1.43567104863859,26.000331,1.2201,1.2213289301533,1.03221867596698,1.41043918433962,614810.180637031,1231321.90453372,614542.952937819,1232257.17769059,1500,0.012213289301533,0.0141043918433962,0.0103221867596698
2020-04-25,50339443,2230,1.0762,1.21452335896615,1.02298224274037,1.40606447519193,23.99926,1.0762,1.21796353958582,1.03986706651573,1.39606001265592,613116.061770588,1844437.96630431,611384.294008448,1843641.47169904,1500,0.0121796353958582,0.0139606001265592,0.0103986706651573
2020-04-26,50339443,2467,1.135,1.20829546599105,1.03629582714854,1.38029510483356,28.00045,1.135,1.21462441004428,1.04522115047327,1.38402766961528,611435.162558325,2455873.12886263,608249.20737415,2451890.67907319,1500,0.0121462441004428,0.0138402766961528,0.0104522115047327
2020-04-27,50339443,2216,1.444,1.20213572316023,1.04577281370755,1.35849863261291,31.99904,1.444,1.21132292768919,1.04827642936398,1.3743694260144,609773.21473003,3065646.34359266,605148.427142884,3057039.10621607,1500,0.0121132292768919,0.013743694260144,0.0104827642936398
2020-04-28,50339443,2607,1.3809,1.19606501665421,1.05144732276452,1.3406827105439,36.000063,1.3809,1.20807035549844,1.04912947471276,1.36701123628413,608135.888006037,3673782.2315987,602092.467301588,3659131.57351766,1500,0.0120807035549844,0.0136701123628413,0.0104912947471276
2020-04-29,50339443,2479,1.0085,1.19010380935581,1.05361976733414,1.32658785137747,25.000715,1.16748441370299,1.20487783734606,1.04799393178696,1.36176174290516,606528.792150455,4280311.02374915,599091.628751496,4258223.20226916,1500,0.0120487783734606,0.0136176174290516,0.0104799393178696
2020-04-30,50339443,2390,1.2971,1.18427215837898,1.05292314332892,1.31562117342904,31.00069,NA,1.20175640311737,1.04518802614369,1.35832478009105,604957.479546119,4885268.50329527,596156.008132057,4854379.21040121,1500,0.0120175640311737,0.0135832478009105,0.0104518802614369
2020-05-01,50339443,2057,1.1181,1.17858973602699,1.05025722240352,1.30692224965045,22.999317,NA,1.19871697484233,1.04109652377533,1.35633742590933,603427.448282081,5488695.95157735,593295.508371156,5447674.71877237,1500,0.0119871697484233,0.0135633742590933,0.0104109652377533
2020-05-02,50339443,1806,1.2182,1.17307584350268,1.04660826341809,1.29954342358727,22.000692,NA,1.19577038228778,1.03611912369195,1.35542164088362,601944.150002642,6090640.10158,590519.845586799,6038194.56435917,1500,0.0119577038228778,0.0135542164088362,0.0103611912369195
2020-05-03,50339443,4077,1.1283,1.16774329771778,1.04272069256117,1.29276590287439,46.000791,NA,1.19293229854974,1.03059656160235,1.35526803549713,600515.474457036,6691155.57603703,587835.471740961,6626030.03610013,1500,0.0119293229854974,0.0135526803549713,0.0103059656160235
2020-05-04,50339443,4174,1.0302,1.16258830498516,1.03877380753065,1.28640280243966,43.000548,NA,1.19023146925014,1.02474664457914,1.35571629392114,599155.892031237,7290311.46806827,585240.477112668,7211270.5132128,1500,0.0119023146925014,0.0135571629392114,0.0102474664457914
2020-05-05,50339443,4308,1.091,1.15760446946189,1.03470565370494,1.28050328521883,47.00028,NA,1.18769859772195,1.01873261069012,1.35666458475378,597880.858612042,7888192.32668031,582731.642070219,7794002.15528302,1500,0.0118769859772195,0.0135666458475378,0.0101873261069012
2020-05-06,50339443,4313,1.3448,1.15278554463159,1.03040791333861,1.27516317592457,58.001224,NA,1.1853641805833,1.01269767306637,1.35803068810024,596705.72602715,8484898.05270746,580305.822152061,8374307.97743508,1500,0.011853641805833,0.0135803068810024,0.0101269767306637
2020-05-07,50339443,4606,0.9987,1.14812542581397,1.02583370686354,1.27041714476441,46.000122,NA,1.18325855562368,1.00678090300771,1.35973620823964,595645.766150803,9080543.81885826,577959.944296131,8952267.92173121,1500,0.0118325855562368,0.0135973620823964,0.0100678090300771
2020-05-08,50339443,4628,1.1452,1.14361814302073,1.02105770065486,1.26617858538661,52.999856,NA,1.18141195755373,1.0011247869425,1.36169912816496,594716.198967944,9675260.01782621,575691.003243581,9527958.92497479,1500,0.0118141195755373,0.0136169912816496,0.010011247869425
2020-05-09,50339443,4442,1.1481,1.13925785414366,1.01628605715492,1.26222965113241,50.998602,1.13038473395752,1.17985458161076,0.99587567624623,1.36383348697529,593932.224592837,10269192.242419,573496.058109673,10101454.9830845,1500,0.0117985458161076,0.0136383348697529,0.0099587567624623
2020-05-10,50339443,4010,1.0723,1.13503883846133,1.01182055174762,1.25825712517503,42.99923,NA,1.17861665505549,0.991178354741402,1.36605495536958,593309.059260164,10862501.3016792,571372.229115102,10672827.2121996,1500,0.0117861665505549,0.0136605495536958,0.00991178354741402
2020-05-11,50339443,4583,1.1346,1.13095549529966,1.00798615548402,1.25392483511531,51.998718,NA,1.1777285163696,0.987165583420709,1.3682914493185,592861.975192622,11455363.2768718,569316.696911742,11242143.9091113,1500,0.011777285163696,0.013682914493185,0.00987165583420709
2020-05-12,50339443,4421,0.9274,1.12701831495651,1.00495461167761,1.24908201823541,41.000354,NA,1.17721979047079,0.983917896188268,1.37052168475332,592605.885408764,12047969.1622806,567334.742257092,11809478.6513684,1500,0.0117721979047079,0.0137052168475332,0.00983917896188268
2020-05-13,50339443,4029,1.2906,1.12328908334358,1.00251653687304,1.24406162981412,51.998274,NA,1.17711745234874,0.981404186938398,1.37283071775908,592554.368968147,12640523.5312487,565457.467834963,12374936.1192034,1500,0.0117711745234874,0.0137283071775908,0.00981404186938398
