"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,10738957,341,1.173,1.15087210971483,0.713235275660188,1.58850894376947,3.99993,1.173,1.19840571913332,0.688385810222234,1.70842562804441,128696.274863268,128696.274863268,123591.660987268,123591.660987268,1500,0.0119840571913332,0.0170842562804441,0.00688385810222234
2020-04-24,10738957,374,2.4064,1.15431767788748,0.735744189162823,1.57289116661215,8.999936,2.4064,1.21167085415286,0.709730810114657,1.71361089819106,130120.812009008,258817.086872277,123961.679071735,247553.340059004,1500,0.0121167085415286,0.0171361089819106,0.00709730810114657
2020-04-25,10738957,418,1.6746,1.15783260562064,0.757445119452349,1.55822009178893,6.999828,1.6746,1.22510193757849,0.730789021705089,1.71941485345189,131563.170282721,390380.257154997,124339.14564958,371892.485708584,1500,0.0122510193757849,0.0171941485345189,0.00730789021705089
2020-04-26,10738957,389,1.0283,1.16144283294652,0.778303518889412,1.54458214700363,4.000087,1.0283,1.23870839717016,0.751536417870132,1.72588037647018,133024.362127492,523404.61928249,124726.846409709,496619.332118293,1500,0.0123870839717016,0.0172588037647018,0.00751536417870132
2020-04-27,10738957,442,1.1312,1.16517463508799,0.79828971544784,1.53205955472814,4.999904,1.1312,1.25250001261017,0.771952713310775,1.73304731190956,134505.437779201,657910.05706169,125127.603037006,621746.935155299,1500,0.0125250001261017,0.0173304731190956,0.00771952713310775
2020-04-28,10738957,497,1.6097,1.16905464656886,0.817387805142195,1.52072148799552,8.000209,1.6097,1.26648692666291,0.792024665455718,1.74094918787011,136007.486464952,793917.543526642,125544.275801532,747291.210956831,1500,0.0126648692666291,0.0174094918787011,0.00792024665455718
2020-04-29,10738957,470,0.4255,1.17310989136074,0.835602811488931,1.51061697123255,1.99985,0.4255,1.28067965708792,0.811748402927112,1.74961091124873,137531.637682419,931449.181209061,125979.766795976,873270.977752807,1500,0.0128067965708792,0.0174961091124873,0.00811748402927112
2020-04-30,10738957,380,2.1053,1.17736781922834,0.852964814735109,1.50177082372156,8.00014,1.20745027617213,1.29508910934912,0.831130407713367,1.75904781098488,139079.062564685,1070528.24377375,126437.023838769,999708.001591576,1500,0.0129508910934912,0.0175904781098488,0.00831130407713367
2020-05-01,10738957,334,1.1976,1.181856348456,0.869528490033362,1.49418420687864,3.999984,NA,1.30972659016521,0.850186759243189,1.76926642108723,140650.975335408,1211179.21910915,126919.04506246,1126627.04665404,1500,0.0130972659016521,0.0176926642108723,0.00850186759243189
2020-05-02,10738957,277,0.361,1.18660392055024,0.885364664808625,1.48784317629186,0.99997,NA,1.32460377575676,0.868939574595008,1.78026797691851,142248.629898895,1353427.84900805,127428.884788204,1254055.93144224,1500,0.0132460377575676,0.0178026797691851,0.00868939574595008
2020-05-03,10738957,649,1.2327,1.19163963848469,0.900520357861067,1.4827589191083,8.000223,NA,1.33973201652761,0.887401783048764,1.79206225000645,143873.245170133,1497301.09417818,127969.668371826,1382025.59981407,1500,0.0133973201652761,0.0179206225000645,0.00887401783048764
2020-05-04,10738957,762,0.7874,1.19699331518329,0.915013659065888,1.4789729713007,5.999988,NA,1.35512245549851,0.90557690261561,1.80466800838141,145526.017793329,1642827.11197151,128544.597410408,1510570.19722447,1500,0.0135512245549851,0.0180466800838141,0.00905576902615609
2020-05-05,10738957,754,1.5915,1.20269547678473,0.928864889036794,1.47652606453267,11.99991,NA,1.37078661547324,0.923471483862812,1.81810174708367,147208.185197427,1790035.29716894,129156.950092857,1639727.14731733,1500,0.0137078661547324,0.0181810174708367,0.00923471483862812
2020-05-06,10738957,823,0.729,1.20877743958622,0.942110947897368,1.47544393127508,5.99967,NA,1.38673643154957,0.94109977917196,1.83237308392719,148921.029087443,1938956.32625638,129810.089462866,1769537.2367802,1500,0.0138673643154957,0.0183237308392719,0.0094109977917196
