"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,100388076,300,1.3333,0.659627058842738,0.430760167224005,0.888493950461471,3.9999,1.3333,0.906648589876956,0.717919833364358,1.09537734638955,910167.075458607,910167.075458607,662186.913147613,662186.913147613,1500,0.00906648589876956,0.0109537734638955,0.00717919833364358
2020-04-24,100388076,2369,0.7598,0.673260467749301,0.450899781124068,0.895621154374535,17.999662,0.7598,0.911857526960423,0.723026613299633,1.10068844062121,915396.22717675,1825563.30263536,675873.230042124,1338060.14318974,1500,0.00911857526960423,0.0110068844062121,0.00723026613299633
2020-04-25,100388076,1599,0.5003,0.687201426055277,0.471238007849553,0.903164844261002,7.999797,0.5003,0.91709639076402,0.728168166542825,1.10602461498522,920655.421753442,2746218.7243888,689868.289861456,2027928.43305119,1500,0.0091709639076402,0.0110602461498522,0.00728168166542825
2020-04-26,100388076,1472,0.9511,0.701464372459308,0.491749571056919,0.911179173861696,14.000192,0.9511,0.922365353218749,0.733344719606824,1.11138598683067,925944.831786906,3672163.55617571,704186.587337373,2732115.02038857,1500,0.00922365353218749,0.0111138598683067,0.00733344719606824
2020-04-27,100388076,1459,0.5483,0.716064518866615,0.512406772256803,0.919722265476428,7.999697,0.5483,0.927664587243296,0.738556500348525,1.11677267413807,931264.630866886,4603428.18704259,718843.393408852,3450958.41379742,1500,0.00927664587243296,0.0111677267413807,0.00738556500348525
2020-04-28,100388076,1630,0.5521,0.731017889656057,0.533183061018409,0.928852718293705,8.99923,0.5521,0.932994266749709,0.743803737975565,1.12218479552385,936614.99358034,5540043.18062293,733854.794641519,4184813.20843894,1500,0.00932994266749709,0.0112218479552385,0.00743803737975565
2020-04-29,100388076,1514,0.9908,0.746341363578126,0.554056864657216,0.938625862499037,15.000712,0.9908,0.938354566649103,0.749086663052257,1.12762247024595,941996.095517172,6482039.2761401,749237.735288246,4934050.94372718,1500,0.00938354566649103,0.0112762247024595,0.00749086663052257
2020-04-30,100388076,1506,0.5976,0.762052718480946,0.575015346878934,0.949090090082957,8.999856,0.5976,0.943745662857397,0.754405507504671,1.13308581821012,947408.113275987,7429447.38941609,765010.062188718,5699061.0059159,1500,0.00943745662857397,0.0113308581821012,0.00754405507504671
2020-05-01,100388076,1356,0.7375,0.778170679075929,0.596057582244283,0.960283775907575,10.0005,0.7375,0.949167732301089,0.759760504624785,1.13857495997739,952851.224469893,8382298.61388598,781190.57272046,6480251.57863636,1500,0.00949167732301089,0.0113857495997739,0.00759760504624785
2020-05-02,100388076,1137,0.4398,0.794714967970723,0.61719643175705,0.972233504184396,5.000526,0.4398,0.954620952923056,0.765151889073633,1.14409001677248,958325.607732322,9340624.22161831,797799.066029825,7278050.64466618,1500,0.00954620952923056,0.0114409001677248,0.00765151889073633
