"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,46937060,1954,0.9212,0.998444592929185,0.859898795972836,1.13699038988553,18.000248,0.9212,0.984542276925775,0.8685367032649,1.10054785058665,462115.199246017,462115.199246017,468640.537649927,468640.537649927,1500,0.00984542276925775,0.0110054785058665,0.008685367032649
2020-04-24,46937060,1417,0.988,0.974064376472449,0.855324353533247,1.09280439941165,13.99996,0.988,0.964098764369543,0.858923486780672,1.06927404195841,452519.615491391,914634.814737408,457197.180823499,925837.718473427,1500,0.00964098764369543,0.0106927404195841,0.00858923486780672
2020-04-25,46937060,2465,0.9736,0.950253817672512,0.847640879757847,1.05286675558718,23.99924,0.9736,0.94409893431949,0.847538343992695,1.04065952464628,443132.2832609,1357767.09799831,446021.204553238,1371858.92302666,1500,0.0094409893431949,0.0104065952464628,0.00847538343992695
2020-04-26,46937060,2759,1.0511,0.927039843120921,0.837006008108266,1.01707367813358,28.999849,1.0511,0.924548208279679,0.834389309560816,1.01470710699854,433955.747249158,1791722.84524747,435125.247389573,1806984.17041624,1500,0.00924548208279679,0.0101470710699854,0.00834389309560816
2020-04-27,46937060,2735,0.9506,0.904445775703883,0.823592460287995,0.985299091119772,25.99891,0.9506,0.905450965060936,0.819570050302458,0.991331879819414,424992.062741231,2216714.9079887,424520.256409597,2231504.42682583,1500,0.00905450965060936,0.00991331879819414,0.00819570050302458
2020-04-28,46937060,2696,0.7789,0.882491579719329,0.807726113041393,0.957257046397265,20.999144,0.7789,0.886810607852894,0.803292043393199,0.970329172312588,416242.827094278,2632957.73508297,414215.602267809,2645720.02909364,1500,0.00886810607852894,0.00970329172312588,0.00803292043393199
2020-04-29,46937060,2552,0.8621,0.861194108195207,0.789975060033444,0.932413156356971,22.000792,0.87537168868375,0.868629630294667,0.785877934928922,0.951381325660412,407709.210749186,3040666.94583216,404219.195280049,3049939.22437369,1500,0.00868629630294667,0.00951381325660412,0.00785877934928922
2020-04-30,46937060,2449,0.6533,0.840567350426226,0.771110319482538,0.910024381369915,15.999317,NA,0.850909681355625,0.767716271500581,0.934103091210669,399391.987683699,3440058.93351586,394537.601609968,3444476.82598366,1500,0.00850909681355625,0.00934103091210669,0.00767716271500581
2020-05-01,46937060,1946,1.0791,0.820622678013418,0.751954018308952,0.889291337717885,20.999286,NA,0.83365162886373,0.749200298719566,0.918102959007894,391291.565230746,3831350.4987466,385176.158752765,3829652.98473643,1500,0.0083365162886373,0.00918102959007894,0.00749200298719566
2020-05-02,46937060,1826,0.8762,0.801369087949254,0.733214699047392,0.869523476851116,15.999412,NA,0.816855621543686,0.730676300170717,0.903034942916656,383408.013197333,4214758.51194394,376139.089632194,4205792.07436862,1500,0.00816855621543686,0.00903034942916656,0.00730676300170717
2020-05-03,46937060,4143,0.8448,0.782811660886259,0.715327990181614,0.850295331590904,35.000064,NA,0.800521211938619,0.712401422364162,0.888641001513075,375741.121560357,4590499.63350429,367428.77895718,4573220.8533258,1500,0.00800521211938619,0.00888641001513075,0.00712401422364162
2020-05-04,46937060,4473,0.7378,0.764946815808504,0.698298363007707,0.831595268609302,33.001794,NA,0.784647591365743,0.694509389375164,0.874785793356321,368290.510747893,4958790.14425219,359043.545904127,4932264.39922993,1500,0.00784647591365743,0.00874785793356321,0.00694509389375164
2020-05-05,46937060,4608,0.4774,0.747768383038784,0.681967858062341,0.813568908015227,21.998592,NA,0.769233443828516,0.677075031242973,0.861391856414058,361055.563069857,5319845.70732204,350980.494607944,5283244.89383787,1500,0.00769233443828516,0.00861391856414058,0.00677075031242973
2020-05-06,46937060,4525,0.7072,0.731269577941377,0.666177615010345,0.796361540872409,32.0008,NA,0.754276938928524,0.660149895017102,0.848403982839947,354035.419391045,5673881.12671309,343236.440560091,5626481.33439796,1500,0.00754276938928524,0.00848403982839947,0.00660149895017102
2020-05-07,46937060,4579,0.8736,0.715443122344251,0.650834690215444,0.780051554473057,40.002144,NA,0.739775787270586,0.64377595168517,0.835775622856002,347229.005136667,6021110.13184976,335807.967600594,5962289.30199856,1500,0.00739775787270586,0.00835775622856002,0.0064377595168517
2020-05-08,46937060,4493,0.6009,0.700281360259574,0.635940842127721,0.764621878391427,26.998437,0.658734753832225,0.72572729397052,0.627991989441997,0.823462598499042,340635.055407319,6361745.18725708,328691.482233852,6290980.78423241,1500,0.0072572729397052,0.00823462598499042,0.00627991989441997
2020-05-09,46937060,4646,0.5811,0.685776368125702,0.621587564436257,0.749965171815148,26.997906,NA,0.712128410260219,0.612834948124614,0.811421872395824,334252.139200885,6695997.32645796,321883.265372982,6612864.04960539,1500,0.00712128410260219,0.00811421872395824,0.00612834948124614
2020-05-10,46937060,4795,0.6048,0.671920059840939,0.607924898377173,0.735915221304704,29.00016,NA,0.69897578320061,0.598337876416601,0.799613689984619,328078.68274634,7024076.0092043,315379.521639577,6928243.57124497,1500,0.0069897578320061,0.00799613689984619,0.00598337876416601
2020-05-11,46937060,4385,0.7754,0.6587042869022,0.595114236131415,0.722294337672985,34.00129,NA,0.686265803527792,0.584525640383207,0.788005966672377,322112.991961322,7346189.00116562,309176.426365858,7237419.99761083,1500,0.00686265803527792,0.00788005966672377,0.00584525640383207
2020-05-12,46937060,4239,0.6134,0.646120550405019,0.583251877908984,0.708989222901054,26.002026,NA,0.673993819137151,0.571403685113464,0.776583953160838,316352.883284696,7662541.88445032,303269.990415934,7540689.98802676,1500,0.00673993819137151,0.00776583953160838,0.00571403685113464
