"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,17581476,755,0.5298,0.364956488843062,0.151011254176768,0.578901723509357,3.99999,0.5298,0.474147003151706,0.225088779298776,0.723205227004637,83362.0415638365,83362.0415638365,64164.7374963857,64164.7374963857,1500,0.00474147003151706,0.00723205227004637,0.00225088779298776
2020-04-24,17581476,795,0.2516,0.374315188248789,0.161746331123627,0.586884045373952,2.00022,0.2516,0.485094758865073,0.236426597440693,0.733762920289452,85286.8186071207,168648.860170957,65810.1349863157,129974.872482701,1500,0.00485094758865073,0.00733762920289452,0.00236426597440693
2020-04-25,17581476,907,0.6615,0.383917245756735,0.172783571382384,0.595050920131086,5.999805,0.6615,0.496296183613074,0.24797771436761,0.744614652858537,87256.1944108484,255905.054581806,67498.3184225814,197473.190905283,1500,0.00496296183613074,0.00744614652858537,0.0024797771436761
2020-04-26,17581476,888,0.7883,0.39377057719093,0.18412299862303,0.60341815575883,7.000104,0.7883,0.507757411419302,0.259738641827464,0.75577618101114,89271.2474269058,345176.302008711,69230.6795238848,266703.870429168,1500,0.00507757411419302,0.0075577618101114,0.00259738641827464
2020-04-27,17581476,829,0.6031,0.403883423888242,0.195764063277796,0.612002784498688,4.999699,0.6031,0.519484735706846,0.271705604734001,0.767263866679691,91333.0841319626,436509.386140674,71008.6672388896,337712.537668057,1500,0.00519484735706846,0.00767263866679691,0.00271705604734001
2020-04-28,17581476,930,0.6452,0.414264367459983,0.207706164395429,0.620822570524536,6.00036,0.6452,0.531484613783955,0.283875088730147,0.779094138837763,93442.8398161187,529952.225956793,72833.7903415287,410546.328009586,1500,0.00531484613783955,0.00779094138837763,0.00283875088730147
2020-04-29,17581476,825,0.1212,0.424922345285921,0.219949200640442,0.6298954899314,0.9999,0.1212,0.543763671465503,0.296244382276949,0.791282960654058,95601.6793954263,625553.905352219,74707.6201550813,485253.948164667,1500,0.00543763671465503,0.00791282960654058,0.00296244382276949
2020-04-30,17581476,815,0.6135,0.435866666781428,0.232494122739492,0.639239210823364,5.000025,0.536799447642757,0.556328707834655,0.308812081468887,0.803845334200423,97810.79824906,723364.703601279,76631.7934121767,561885.741576844,1500,0.00556328707834655,0.00803845334200423,0.00308812081468887
2020-05-01,17581476,655,0.6107,0.447107030480902,0.245343447821808,0.648870613139996,4.000085,NA,0.569186700149252,0.321578518048329,0.816794882250174,100071.423081933,823436.126683212,78608.0152583124,640493.756835156,1500,0.00569186700149252,0.00816794882250174,0.00321578518048329
2020-05-02,17581476,548,0.5474,0.458653541983248,0.25850168170805,0.658805402258447,2.999752,NA,0.582344808897639,0.334546063061554,0.830143554733723,102384.812813584,925820.939496796,80638.0624069347,721131.819242091,1500,0.00582344808897639,0.00830143554733723,0.00334546063061554
2020-05-03,17581476,1247,0.6415,0.470516732807946,0.271975578059189,0.669057887556703,7.999505,NA,0.595810383008778,0.347719250443394,0.843901515574162,104752.259494196,1030573.19899099,82723.7864546131,803855.605696704,1500,0.00595810383008778,0.00843901515574162,0.00347719250443394
2020-05-04,17581476,1278,0.7042,0.482707580213183,0.285774143052307,0.67964101737406,8.999676,NA,0.609590965221683,0.361104656587604,0.858077273855761,107175.089248619,1137748.28823961,84867.1173653616,888722.723062066,1500,0.00609590965221683,0.00858077273855761,0.00361104656587604
2020-05-05,17581476,1173,0.4263,0.495237530276711,0.299908252141467,0.690566808411955,5.000499,NA,0.623694295636773,0.374710444674664,0.872678146598881,109654.662900748,1247402.95114036,87070.0675285927,975792.790590658,1500,0.00623694295636773,0.00872678146598881,0.00374710444674664
2020-05-06,17581476,1209,0.3309,0.508118826406264,0.314387211023063,0.701850441789466,4.000581,NA,0.638128047562555,0.388542934927863,0.887713160197248,112192.329531479,1359595.28067184,89334.789516099,1065127.58010676,1500,0.00638128047562555,0.00887713160197248,0.00388542934927863
2020-05-07,17581476,1378,0.5806,0.521364888122891,0.329214350182729,0.713515426063053,8.000668,NA,0.652899525014646,0.402602667662455,0.903196382366838,114789.373294564,1474384.6539664,91663.642677753,1156791.22278451,1500,0.00652899525014646,0.00903196382366838,0.00402602667662455
2020-05-08,17581476,1397,0.5727,0.534989848581654,0.344390908950004,0.725588788213304,8.000619,NA,0.668016103338288,0.416888789295358,0.919143417381219,117447.090884556,1591831.74485096,94059.1118308198,1250850.33461533,1500,0.00668016103338288,0.00919143417381219,0.00416888789295358
2020-05-09,17581476,1281,0.5464,0.549008518353539,0.359917555845051,0.738099480862027,6.999384,NA,0.683485292075186,0.431400528352014,0.935570055798359,120166.802589729,1711998.54744069,96523.800892283,1347374.13550761,1500,0.00683485292075187,0.00935570055798359,0.00431400528352014
