"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,4076246,297,0.3367,0.549512123825815,-0.113849690321582,1.21287393797321,0.999999,0.3367,0.611613784542259,0.113799509417593,1.10942805966692,24930.8824278524,24930.8824278524,22399.4659669648,22399.4659669648,1500,0.00611613784542259,0.0110942805966692,0.00113799509417593
2020-04-24,4076246,320,0.3125,0.543635839606831,0.00387672727752586,1.08339495193614,1,0.3125,0.627093084361843,0.207093632473058,1.04709253625063,25561.8567675762,50492.7391954287,22159.9341665399,44559.4001335047,1500,0.00627093084361843,0.0104709253625063,0.00207093632473058
2020-04-25,4076246,307,0.9772,0.537270694820431,0.0860642863248801,0.988477103315981,3.000004,0.9772,0.638630368175143,0.262137862527355,1.01512287382293,26032.1448375245,76524.8840329532,21900.47520679,66459.8753402947,1500,0.00638630368175143,0.0101512287382293,0.00262137862527355
2020-04-26,4076246,344,1.1628,0.530564431233213,0.138808533446179,0.922320329020246,4.000032,1.1628,0.646275233042068,0.277958938307713,1.01459152777642,26343.768335868,102868.652368821,21627.1114055666,88086.9867458613,1500,0.00646275233042068,0.0101459152777642,0.00277958938307712
2020-04-27,4076246,352,0.5682,0.523659096601414,0.167687048159991,0.879631145042836,2.000064,0.512828791208791,0.650164772321809,0.262415539583505,1.03791400506011,26502.3155251769,129370.967893998,21345.6329788513,109432.619724713,1500,0.00650164772321809,0.0103791400506011,0.00262415539583505
2020-04-28,4076246,308,0,0.516690348574413,0.17801477736304,0.855365919785787,0,NA,0.650511403742551,0.228074620410359,1.07294818707474,26516.4450745996,155887.412968598,21061.5696661506,130494.189390863,1500,0.00650511403742551,0.0107294818707474,0.00228074620410359
2020-04-29,4076246,297,0.3367,0.509787119669302,0.175187253715677,0.844386985622927,0.999999,NA,0.647589107820917,0.186136075099116,1.10904214054272,26397.3251039858,182284.738072583,20780.1770740351,151274.366464898,1500,0.00647589107820917,0.0110904214054272,0.00186136075099116
2020-04-30,4076246,249,0,0.50307161600712,0.164728595068403,0.841414636945837,0,NA,0.641718975146353,0.144532357448596,1.13890559284411,26158.0440556442,208442.782128228,20506.4366246256,171780.803089524,1500,0.00641718975146353,0.0113890559284411,0.00144532357448596
2020-05-01,4076246,256,0.7813,0.496659621289462,0.15200768237945,0.841311560199474,2.000128,NA,0.63325486476957,0.108537624513949,1.15797210502519,25813.026094975,234255.808223203,20245.0679464268,192025.871035951,1500,0.0063325486476957,0.0115797210502519,0.00108537624513949
2020-05-02,4076246,240,0.8333,0.490661078498532,0.141854959246983,0.839467197750081,1.99992,NA,0.622569842346887,0.0815427392512614,1.16359694544251,25377.4782958713,259633.286519074,20000.5525858533,212026.423621804,1500,0.00622569842346887,0.0116359694544251,0.000815427392512614
