"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-25,6415851,166,0,0.00837741292138597,-0.032099080384547,0.0488539062273189,0,0,0.326423618008026,-0.237297886041358,0.890145122057409,20942.8529602041,20942.8529602041,537.482330690871,537.482330690871,1500,0.00326423618008026,0.00890145122057409,-0.00237297886041358
2020-04-28,6415851,103,0,0.00944911016094711,-0.0347240815462069,0.0536223018681011,0,0,0.346259913014599,-0.232110564163997,0.924630390193194,22215.5200917462,43158.3730519504,606.240828752227,1143.7231594431,1500,0.00346259913014599,0.00924630390193194,-0.00232110564163997
2020-05-03,6415851,118,0.8475,0.0106579065421339,-0.0375122795064585,0.0588280925907263,1.00005,0.8475,0.367301647900173,-0.226007573779673,0.96061086958002,23565.5264498197,66723.8995017701,683.795403462562,1827.51856290566,1500,0.00367301647900173,0.0096061086958002,-0.00226007573779673
2020-05-04,6415851,133,0,0.0120213629039234,-0.0404676234080961,0.0645103492159428,0,0,0.389624415299711,-0.219019078777499,0.998267909376922,24997.7219452507,91721.6214470208,771.272732084998,2598.79129499066,1500,0.00389624415299711,0.00998267909376922,-0.00219019078777499
2020-05-05,6415851,142,1.4085,0.0135593230976129,-0.0435923983958933,0.0707110445911191,2.00007,1.4085,0.413311184979589,-0.211161517042192,1.03778388700137,26517.4297946248,118239.051241646,869.945966551428,3468.73726154209,1500,0.00413311184979589,0.0103778388700137,-0.00211161517042192
2020-05-06,6415851,149,1.3423,0.0152941878878281,-0.0468864016688783,0.0774747774445346,2.000027,1.3423,0.438450429188904,-0.202435435118001,1.07933629349581,28130.3262456206,146369.377487266,981.252306543101,4449.98956808519,1500,0.00438450429188904,0.0107933629349581,-0.00202435435118001
2020-05-07,6415851,169,0.5917,0.0172512493384192,-0.0503467137775311,0.0848492124543695,0.999973,0.5917,0.465136934070303,-0.192835175567797,1.1231090437084,29842.4926359189,176211.870123185,1106.81445319146,5556.80402127665,1500,0.00465136934070303,0.011231090437084,-0.00192835175567797
2020-05-08,6415851,153,0,0.0194590669241776,-0.0539666573628439,0.092884791211199,0,0,0.493472295985726,-0.182341239821859,1.16928583179331,31660.4472367232,207872.317359908,1248.46473984551,6805.26876112217,1500,0.00493472295985726,0.0116928583179331,-0.00182341239821859
2020-05-09,6415851,158,0,0.0219498972101349,-0.0577350266352868,0.101634821055557,0,0,0.523565259553566,-0.170921870179619,1.21805238928675,33591.1669407201,241463.484300628,1408.27269965541,8213.54146077758,1500,0.00523565259553566,0.0121805238928675,-0.00170921870179619
2020-05-10,6415851,163,0,0.0247602407101507,-0.0616376610875706,0.111158142507872,0,0,0.555529391162074,-0.158560944897038,1.26961972722119,35641.9379981658,277105.422298794,1588.58015120461,9802.12161198219,1500,0.00555529391162074,0.0126961972722119,-0.00158560944897038
2020-05-11,6415851,162,0,0.0279314116496013,-0.0656572766021864,0.121520099901389,0,0,0.589483583859386,-0.145260750330775,1.32422791804955,37820.3884098782,314925.810708672,1792.03775363506,11594.1593656172,1500,0.00589483583859386,0.0132422791804955,-0.00145260750330775
2020-05-12,6415851,151,1.3245,0.0315101405412348,-0.0697706806465661,0.132790961729036,1.999995,1.3245,0.625554400012587,-0.131014228318913,1.38212302834409,40134.6382287516,355060.448937424,2021.64366701622,13615.8030326335,1500,0.00625554400012587,0.0138212302834409,-0.00131014228318913
2020-05-13,6415851,132,0,0.0355492962053475,-0.073946438364761,0.145045030775456,0,0,0.663876633813409,-0.115787069400444,1.44354033702726,42593.3356492839,397653.784586708,2280.78987608375,15896.5929087172,1500,0.00663876633813409,0.0144354033702726,-0.00115787069400444
2020-05-14,6415851,148,0,0.0401087075083062,-0.0781425410354093,0.158359956052022,0,0,0.70459385638896,-0.0995094509312185,1.50869716370914,45205.6919810697,442859.476567778,2573.31491175874,18469.907820476,1500,0.0070459385638896,0.0150869716370914,-0.000995094509312185
2020-05-15,6415851,120,0,0.0452561959364781,-0.0823068344619697,0.172819226334926,0,0.392338656819755,0.747854825784377,-0.0820984803818702,1.57780813195062,47981.2513186352,490840.727886413,2903.57009955249,21373.4779200284,1500,0.00747854825784377,0.0157780813195062,-0.000820984803818702
