"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
"2020/04/24",18551428,136,0.7353,0.559605904550968,-0.0774698920795694,1.1966817011815,1.000008,0.7353,0.344651650551994,0.0456749473463838,0.643628353757605,63937.8028029648,63937.8028029648,103814.886466521,103814.886466521,1500,0.00344651650551994,0.00643628353757605,0.000456749473463838
"2020/04/25",18551428,475,0.2105,0.557532769649361,-0.0275812234361092,1.14264676273483,0.999875,0.2105,0.362063564617333,0.0632609118407306,0.660866217393935,67167.9615042179,131105.764307183,103430.290337907,207245.176804429,1500,0.00362063564617333,0.00660866217393935,0.000632609118407306
"2020/04/26",18551428,249,0.8032,0.555469156154587,0.0173354379172742,1.0936028743919,1.999968,0.8032,0.380372329710869,0.0817530087208115,0.678991650700926,70564.4988782345,201670.263185417,103047.460566226,310292.637370654,1500,0.00380372329710869,0.00678991650700926,0.000817530087208115
"2020/04/27",18551428,219,0.4566,0.553413879127496,0.0570610356592064,1.04976672259579,0.999954,0.4566,0.399633577319814,0.101106611039572,0.698160543600056,74137.7353603096,275807.998545727,102666.177328345,412958.814698999,1500,0.00399633577319814,0.00698160543600056,0.00101106611039572
"2020/04/28",18551428,229,0.4367,0.551365770707265,0.0913985102329833,1.01133303118155,1.000043,0.4367,0.41990719087104,0.121264723222203,0.718549658519876,77898.7801812635,353706.77872699,102286.223969403,515245.038668402,1500,0.00419907190871039,0.00718549658519876,0.00121264723222203
"2020/04/29",18551428,223,0.4484,0.549323679951739,0.120280789685758,0.97836657021772,0.999932,0.4484,0.441257669959373,0.142164109272178,0.740351230646567,81859.5989369907,435566.377663981,101907.386973197,617152.425641599,1500,0.00441257669959373,0.00740351230646567,0.00142164109272178
"2020/04/30",18551428,193,1.0363,0.547286472702059,0.143870318995706,0.950702626408412,2.000059,1.0363,0.46375452883168,0.163742177872498,0.763766879790861,86033.0875129483,521599.465176929,101529.455937062,718681.881578662,1500,0.0046375452883168,0.00763766879790861,0.00163742177872498
"2020/05/01",18551428,188,0.5319,0.545253031470962,0.162617461179741,0.927888601762182,0.999972,0.5319,0.48747273269971,0.185943306506601,0.78900215889282,90433.1530264192,612032.618203348,101152.223551153,819834.105129814,1500,0.0048747273269971,0.0078900215889282,0.00185943306506601
"2020/05/02",18551428,136,0,0.543222255354154,0.177242743355594,0.909201767352714,0,0,0.512493175859227,0.208722432944727,0.816263918773727,95074.8025244379,707107.420727786,100775.485582002,920609.590711816,1500,0.00512493175859227,0.00816263918773727,0.00208722432944727
"2020/05/03",18551428,283,0.7067,0.541196394198546,0.188598646559835,0.893794141837256,1.999961,0.7067,0.538903371530968,0.232040273607612,0.845766469454325,99974.2709591401,807081.691686927,100399.659408339,1021009.25012016,1500,0.00538903371530968,0.00845766469454325,0.00232040273607612
