"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,424644,163,1.227,0.936356539934528,0.368269196805198,1.50444388306386,2.00001,1.227,0.982441395889414,0.341224674705032,1.6236581170738,4171.87844116064,4171.87844116064,3976.18186543958,3976.18186543958,1500,0.00982441395889414,0.016236581170738,0.00341224674705032
2020-04-24,424644,179,0.5587,0.934455964607486,0.403894624613964,1.46501730460101,1.000073,0.877217251461988,0.975978305978094,0.390066662514501,1.56188994944169,4144.43331763762,8316.31175879826,3968.11118634781,7944.29305178739,1500,0.00975978305978094,0.0156188994944169,0.00390066662514501
2020-04-25,424644,209,0.9569,0.932555596708887,0.436766396955638,1.42834479646214,1.999921,0.952378571428571,0.969666210662297,0.433447541425643,1.50588487989895,4117.6293836048,12433.9411424031,3960.04138808849,11904.3344398759,1500,0.00969666210662297,0.0150588487989895,0.00433447541425643
2020-04-26,424644,211,0.9479,0.930661456766563,0.466799604128132,1.39452330940499,2.000069,NA,0.963533870960055,0.471449879682667,1.45561786223744,4091.58877099962,16525.5299134027,3951.9980364718,15856.3324763477,1500,0.00963533870960055,0.0145561786223744,0.00471449879682667
2020-04-27,424644,199,0.5025,0.92877951646333,0.493892310101453,1.36366672282521,0.999975,0.237523752969121,0.957609340874198,0.504094510019209,1.41112417172919,4066.43060946183,20591.9605228645,3944.00648989054,19800.3389662382,1500,0.00957609340874199,0.0141112417172919,0.00504094510019209
2020-04-28,424644,222,0,0.926915699229696,0.517950308133939,1.33588109032545,0,NA,0.951920027238462,0.531404460706164,1.37243559377076,4042.27128046649,24634.231803331,3936.09190183695,23736.4308680752,1500,0.00951920027238462,0.0137243559377076,0.00531404460706164
2020-04-29,424644,199,2.5126,0.925075881216659,0.538915697964427,1.31123606446889,5.000074,2.05655115681234,0.946492757563204,0.55348249306595,1.33950302206046,4019.22470542669,28653.4565087577,3928.27922503367,27664.7100931088,1500,0.00946492757563203,0.0133950302206046,0.0055348249306595
2020-04-30,424644,190,1.5789,0.923265892643285,0.556796517759591,1.28973526752698,2.99991,NA,0.941353855614242,0.570590281711768,1.31211742951672,3997.40266663454,32650.8591753922,3920.59321715615,31585.303310265,1500,0.00941353855614242,0.0131211742951672,0.00570590281711768
2020-05-01,424644,171,0,0.921491519513964,0.571692505538954,1.27129053348897,0,0.882329117647059,0.936529224519712,0.583208231191801,1.28985021784762,3976.91516016949,36627.7743355617,3913.05844812488,35498.3617583899,1500,0.00936529224519712,0.0128985021784762,0.00583208231191801
2020-05-02,424644,169,1.7751,0.919758505700527,0.583810543620767,1.25570646778029,2.999919,NA,0.932044437267401,0.592052516004387,1.27203635853041,3957.87078018978,40585.6451157515,3905.69930894695,39404.0610673368,1500,0.00932044437267401,0.0127203635853041,0.00592052516004387
2020-05-03,424644,393,1.0178,0.918072555384734,0.593463652583924,1.24268145818554,3.999954,1.0178,0.927924834528682,0.598035951538794,1.25781371751857,3940.37713433598,44526.0222500875,3898.54002208795,43302.6010894248,1500,0.00927924834528682,0.0125781371751857,0.00598035951538794
2020-05-04,424644,441,0.6803,0.916439335857043,0.601050068591864,1.23182860312222,3.000123,0.6803,0.924195629824917,0.602178005139786,1.24621325451005,3924.54129031372,48450.5635404012,3891.60465335678,47194.2057427815,1500,0.00924195629824917,0.0124621325451005,0.00602178005139786
2020-05-05,424644,436,0.2294,0.914864527340836,0.607012280500331,1.22271677418134,1.000184,0.229399999999999,0.920881762062302,0.605481439858009,1.2362820842666,3910.46914969184,52361.032690093,3884.91732348122,51079.1230662628,1500,0.00920881762062302,0.012362820842666,0.00605481439858009
2020-05-06,424644,422,0.9479,0.913357880000437,0.611717212366762,1.21499854763411,4.000138,0.9479,0.917985463813649,0.608615670839733,1.22735525678756,3898.17019295683,56259.2028830499,3878.51943594905,54957.6425022118,1500,0.00917985463813649,0.0122735525678756,0.00608615670839733
2020-05-07,424644,491,1.4257,0.911936327596957,0.615353273231647,1.20851938196227,7.000187,1.4257,0.915469231980489,0.611679951916915,1.21925851204406,3887.48516545123,60146.6880485011,3872.48289896082,58830.1254011726,1500,0.00915469231980489,0.0121925851204406,0.00611679951916915
2020-05-08,424644,405,0.4938,0.910617455593073,0.618037012113839,1.20319789907231,1.99989,0.493799999999999,0.913292334493625,0.614547150198726,1.21203751878852,3878.24110088711,64024.9291493882,3866.88238812865,62697.0077893013,1500,0.00913292334493625,0.0121203751878852,0.00614547150198726
2020-05-09,424644,480,0.8333,0.909418776273859,0.619856953932537,1.19898059861518,3.99984,0.833300000000001,0.911414805328568,0.616999583934082,1.20583002672305,3870.26828593945,67895.1974353277,3861.79226832037,66558.8000576217,1500,0.00911414805328568,0.0120583002672305,0.00616999583934082
2020-05-10,424644,455,0.4396,0.908357750455831,0.620902517513337,1.19581298339833,2.00018,0.4396,0.909797308858282,0.618819380282811,1.20077523743375,3863.39968422816,71758.5971195558,3857.28668584566,70416.0867434673,1500,0.00909797308858282,0.0120077523743375,0.00618819380282811
2020-05-11,424644,423,0.9456,0.907451812583591,0.621286116607114,1.19361750856007,3.999888,0.9456,0.908401021870377,0.619861863927895,1.19694017981286,3857.47043531124,75616.0675548671,3853.43967502746,74269.5264184948,1500,0.00908401021870377,0.0119694017981286,0.00619861863927895
2020-05-12,424644,362,1.3812,0.906718399219399,0.621156807634725,1.19227999080407,4.999944,1.3812,0.90718753264289,0.620106978357552,1.19426808692823,3852.31742611607,79468.3849809831,3850.32527918123,78119.851697676,1500,0.0090718753264289,0.0119426808692823,0.00620106978357552
2020-05-13,424644,354,1.1299,0.906174980945674,0.620704797909166,1.19164516398218,3.999846,1.1299,0.906118756602323,0.619683478714544,1.1925540344901,3847.77893278637,83316.1639137695,3848.01768608695,81967.869383763,1500,0.00906118756602323,0.011925540344901,0.00619683478714544
