"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-24,114587226,364,2.1978,1.54559341133386,1.19616242995752,1.89502439271021,7.999992,2.1978,1.50189032272844,1.12497169262872,1.87880895282816,1720974.45837697,1720974.45837697,1771052.61528624,1771052.61528624,1500,0.0150189032272844,0.0187880895282816,0.0112497169262872
2020-04-25,114587226,1624,1.3547,1.54437836012485,1.21513164011504,1.87362508013466,22.000328,1.3547,1.50331868864345,1.14054574355402,1.86609163373288,1722611.18325611,3443585.64163308,1769660.32181136,3540712.9370976,1500,0.0150331868864345,0.0186609163373288,0.0114054574355402
2020-04-26,114587226,1209,1.4061,1.54320911206639,1.23286185776739,1.8535563663654,16.999749,1.4061,1.50475859227195,1.15534889851636,1.85416828602755,1724261.12888108,5167846.77051416,1768320.51289611,5309033.44999371,1500,0.0150475859227195,0.0185416828602755,0.0115534889851636
2020-04-27,114587226,991,1.2109,1.54209406892992,1.24930781705969,1.83488032080014,12.000019,1.2109,1.50621288204223,1.16932183868934,1.84310392539513,1725927.55918685,6893774.329701,1767042.81589732,7076076.26589103,1500,0.0150621288204223,0.0184310392539513,0.0116932183868934
2020-04-28,114587226,985,1.5228,1.54104161304842,1.2644196859322,1.81766354016464,14.99958,1.5228,1.50768441762722,1.1824025672556,1.83296626799883,1727613.75099328,8621388.08069429,1765836.83589784,8841913.10178887,1500,0.0150768441762722,0.0183296626799883,0.011824025672556
2020-04-29,114587226,947,1.7951,1.54006011051333,1.27815419745588,1.80196602357077,16.999597,1.7951,1.5091760702425,1.19452959346036,1.82382254702464,1729322.99434669,10350711.075041,1764712.15936976,10606625.2611586,1500,0.015091760702425,0.0182382254702464,0.0119452959346036
2020-04-30,114587226,883,1.6988,1.53915791482765,1.29048644676815,1.78782938288716,15.000404,1.6988,1.51069072299895,1.20564529842294,1.81573614757497,1731058.59292385,12081769.6679648,1763678.35836045,12370303.6195191,1500,0.0151069072299895,0.0181573614757497,0.0120564529842294
2020-05-01,114587226,744,1.8817,1.53834337101477,1.30142115232717,1.77526558970237,13.999848,1.8817,1.51223127131025,1.21569928290671,1.80876325971379,1732823.86449895,13814593.5324638,1762744.99520071,14133048.6147198,1500,0.0151223127131025,0.0180876325971379,0.0121569928290671
2020-05-02,114587226,672,1.1905,1.53762482018292,1.31100156415547,1.76424807621036,8.00016,1.1905,1.51380062335575,1.22465140022774,1.80294984648375,1734622.14147406,15549215.6739378,1761921.62773509,15894970.2424549,1500,0.0151380062335575,0.0180294984648375,0.0122465140022774
2020-05-03,114587226,1379,0.7252,1.53701060454612,1.31931379786488,1.75470741122737,10.000508,0.7252,1.51540170059923,1.2324740963849,1.79832930481357,1736456.77147348,17285672.4454113,1761217.81507523,17656188.0575301,1500,0.0151540170059923,0.0179832930481357,0.012324740963849
2020-05-04,114587226,1942,1.7508,1.53650907290301,1.3264844394674,1.74653370633861,34.000536,1.7508,1.51703743836388,1.23915364369897,1.7949212330288,1738331.11800263,19024003.563414,1760643.12387788,19416831.181408,1500,0.0151703743836388,0.017949212330288,0.0123915364369897
2020-05-05,114587226,1947,1.5408,1.53612857755128,1.33266982081516,1.7395873342874,29.999376,1.5408,1.51871078655614,1.24468987838092,1.79273169473136,1740248.56127746,20764252.1246914,1760207.12480927,21177038.3062173,1500,0.0151871078655614,0.0179273169473136,0.0124468987838092
2020-05-06,114587226,1875,1.7067,1.53587481269498,1.33801240628028,1.73373721910969,32.000625,1.7067,1.52042473759833,1.24909071167624,1.79175876352041,1742212.5302317,22506464.6549231,1759916.34269988,22936954.6489171,1500,0.0152042473759833,0.0179175876352041,0.0124909071167624
2020-05-07,114587226,1982,1.5136,1.53574709909007,1.34258282676922,1.72891137141091,29.999552,1.5136,1.52218236539891,1.25236533535281,1.79199939544502,1744226.5471718,24250691.2020949,1759769.99922278,24696724.6481399,1500,0.0152218236539891,0.0179199939544502,0.0125236533535281
2020-05-08,114587226,1999,1.901,1.53574385244393,1.34642709244243,1.72506061244543,38.00099,1.901,1.52398677062955,1.25453343064037,1.79344011061873,1746294.16507139,25996985.3671663,1759766.27898103,26456490.9271209,1500,0.0152398677062955,0.0179344011061873,0.0125453343064037
2020-05-09,114587226,1962,1.3761,1.53586351899407,1.3495889402531,1.72213809773504,26.999082,1.3761,1.52584107208261,1.25562912704114,1.79605301712408,1748418.95766812,27745404.3248344,1759903.40156128,28216394.3286822,1500,0.0152584107208261,0.0179605301712408,0.0125562912704114
2020-05-10,114587226,2041,1.6169,1.53610457425692,1.3521225199792,1.72008662853464,33.000929,1.6169,1.52774840763377,1.25570219866013,1.79979461660742,1750604.52056671,29496008.8454011,1760179.62010012,29976573.9487823,1500,0.0152774840763377,0.0179979461660742,0.0125570219866013
