"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-24,5804343,104,1.9231,1.01132169805524,0.461772495625702,1.56087090048477,2.000024,1.9231,1.91583711323376,1.36754765773163,2.46412656873589,111201.757373386,111201.757373386,58700.5801885504,58700.5801885504,1500,0.0191583711323376,0.0246412656873589,0.0136754765773163
2020-04-26,5804343,105,0,0.773002553637031,0.411884336500686,1.13412077077338,0,0,0.121614974653992,-0.351850205621066,0.59508015492905,7058.95026828076,118260.707641667,44867.7196118523,103568.299800403,1500,0.00121614974653992,0.0059508015492905,-0.00351850205621066
2020-04-27,5804343,108,0,0.599811892347077,0.328734453571016,0.870889331123138,0,0,0.00854583622372952,-0.0569509157752716,0.0740425882227306,496.029646643509,118756.73728831,34815.1395866151,138383.439387018,1500,8.54583622372952e-05,0.000740425882227306,-0.000569509157752716
2020-04-28,5804343,108,0.9259,0.472724376103322,0.242359450817297,0.703089301389347,0.999972,0.9259,0.000669465000730441,-0.00693402423582895,0.00827295423728984,38.8580449073473,118795.595333218,27438.5442336468,165821.983620665,1500,6.69465000730441e-06,8.27295423728984e-05,-6.93402423582895e-05
2020-04-29,5804343,111,0,0.378595934126728,0.169106938773093,0.588084929480363,0,0,5.88808062620592e-05,-0.000824076785576171,0.000941838398100289,3.41764395661539,118799.012977174,21975.0066007694,187796.990221434,1500,5.88808062620592e-07,9.41838398100289e-06,-8.24076785576171e-06
2020-05-03,5804343,188,0,0.308272765511965,0.113042595554351,0.503502935469579,0,0,5.85543194665899e-06,-0.000102990640601009,0.000114701504494327,0.339869354315665,118799.352846529,17893.2086859002,205690.198907334,1500,5.85543194665899e-08,1.14701504494327e-06,-1.02990640601009e-06
2020-05-04,5804343,198,0,0.255330018951126,0.0722470656220945,0.438412972280157,0,0,6.63055994323785e-07,-1.40148943260907e-05,1.53410063147382e-05,0.038486044192613,118799.391332573,14820.2300818884,220510.428989222,1500,6.63055994323785e-09,1.53410063147382e-07,-1.40148943260907e-07
2020-05-05,5804343,226,0,0.215224815425421,0.0433326698859312,0.387116960964912,0,0.306187879561113,8.61022124303e-08,-2.12079832028265e-06,2.29300274514325e-06,0.00499766774004325,118799.39633024,12492.3865084084,233002.815497631,1500,8.61022124303e-10,2.29300274514325e-08,-2.12079832028265e-08
2020-05-06,5804343,205,0,0.184723776915341,0.0231860278193992,0.346261526011283,0,NA,1.29127283086456e-08,-3.62321481524692e-07,3.88146938141983e-07,0.000749499041691889,118799.397079739,10722.0016147212,243724.817112352,1500,1.29127283086456e-10,3.88146938141983e-09,-3.62321481524692e-09
2020-05-07,5804343,458,0.655,0.161513744545427,0.00937197164378842,0.313655517447065,2.9999,NA,2.25230951799637e-09,-7.07391600389643e-08,7.5243779074957e-08,0.000130731769846156,118799.397210471,9374.81172556036,253099.628837912,1500,2.25230951799637e-11,7.5243779074957e-10,-7.07391600389643e-10
2020-05-08,5804343,402,0,0.143935739791786,9.15202806842652e-05,0.287779959302888,0,NA,4.60162524339044e-10,-1.59513563236397e-08,1.68716813723178e-08,2.67094112700966e-05,118799.397237181,8354.52403710276,261454.152875015,1500,4.60162524339044e-12,1.68716813723178e-10,-1.59513563236397e-10
2020-05-09,5804343,475,0.2105,0.130798464907304,-0.005973962543105,0.267570892357714,0.999875,NA,1.10880092652699e-10,-4.19424540951335e-09,4.41600559481875e-09,6.43586089628047e-06,118799.397243617,7591.99154195458,269046.14441697,1500,1.10880092652699e-12,4.41600559481875e-11,-4.19424540951335e-11
2020-05-10,5804343,449,0.4454,0.121140508809615,-0.00994004650093182,0.252221064120162,1.999846,NA,3.15479213119885e-11,-1.29056723653672e-09,1.3536630791607e-09,1.83114956231791e-06,118799.397245448,7031.41064325528,276077.555060225,1500,3.15479213119885e-13,1.3536630791607e-11,-1.29056723653672e-11
2020-05-11,5804343,398,0.5025,0.114159968006925,-0.012728180616001,0.241048116629851,1.99995,NA,1.05416736991239e-11,-4.63108309340886e-10,4.84191656739134e-10,6.11874899437939e-07,118799.39724606,6626.23611181219,282703.791172037,1500,1.05416736991239e-13,4.84191656739134e-12,-4.63108309340887e-12
2020-05-12,5804343,384,0.2604,0.109278135635908,-0.014948103647532,0.233504374919349,0.999936,NA,4.11297322524231e-12,-1.9293103749684e-10,2.01156983947325e-10,2.38731073491226e-07,118799.397246298,6342.87781631335,289046.668988351,1500,4.11297322524231e-14,2.01156983947324e-12,-1.9293103749684e-12
2020-05-13,5804343,366,0,0.106073037257414,-0.0169804984899334,0.229126573004762,0,NA,1.86292568147388e-12,-9.28436459084337e-11,9.65694972713814e-11,1.08130596387832e-07,118799.397246406,6156.84291293811,295203.511901289,1500,1.86292568147388e-14,9.65694972713814e-13,-9.28436459084337e-13
2020-05-14,5804343,440,0.2273,0.10422845876483,-0.0190341509680978,0.227491068497757,1.00012,NA,9.73899970698047e-13,-5.13313755296135e-11,5.32791754710096e-11,5.65284947762141e-08,118799.397246463,6049.77725032428,301253.289151613,1500,9.73899970698047e-15,5.32791754710096e-13,-5.13313755296135e-13
2020-05-15,5804343,444,0,0.10349860742008,-0.0211791421132584,0.228176356953418,0,NA,5.84249289324264e-13,-3.24215909682677e-11,3.35900895469162e-11,3.39118327274427e-08,118799.397246497,6007.41417488487,307260.703326498,1500,5.84249289324264e-15,3.35900895469162e-13,-3.24215909682677e-13
