"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
2020-04-23,96462108,436,0.4587,0.538822247401648,0.350689255549876,0.72695523925342,1.999932,0.4587,0.498022483506607,0.149674276009605,0.84637069100361,480402.985904426,480402.985904426,519759.298216605,519759.298216605,1500,0.00498022483506607,0.0084637069100361,0.00149674276009605
2020-04-24,96462108,3053,0.3931,0.528243554239707,0.361756879118982,0.694730229360431,12.001343,0.3931,0.517003417980056,0.245511983874532,0.78849485208558,498712.395415613,979115.381320038,509554.867793745,1029314.16601035,1500,0.00517003417980056,0.0078849485208558,0.00245511983874532
2020-04-25,96462108,1961,0.5609,0.517873161967925,0.369943903309588,0.665802420626261,10.999249,0.5609,0.531285612506954,0.304521283628902,0.758049941385006,512489.30132492,1491604.68264496,499551.368800514,1528865.53481086,1500,0.00531285612506954,0.00758049941385006,0.00304521283628902
2020-04-26,96462108,1948,0.77,0.507763374765815,0.375327847132838,0.640198902398791,14.9996,0.77,0.540848506928263,0.334176523389073,0.747520490467454,521713.870869529,2013318.55351449,489799.254951045,2018664.78976191,1500,0.00540848506928263,0.00747520490467454,0.00334176523389073
2020-04-27,96462108,1859,0.5917,0.497962185349566,0.378002048606487,0.617922322092645,10.999703,0.5917,0.545831904508532,0.345043913318116,0.746619895698949,526520.961225477,2539839.51473996,480344.821031058,2499009.61079297,1500,0.00545831904508532,0.00746619895698949,0.00345043913318116
2020-04-28,96462108,2234,0.3581,0.488513578210995,0.378151123038038,0.598876033383951,7.999954,0.3581,0.54651320997518,0.345471803522655,0.747554616427706,527178.162840525,3067017.67758049,471230.495408554,2970240.10620152,1500,0.00546513209975181,0.00747554616427706,0.00345471803522655
2020-04-29,96462108,1968,0.7622,0.479457873229545,0.376113187686823,0.582802558772267,15.000096,0.7622,0.543279901147826,0.340439019468433,0.746120782827218,524059.244987509,3591076.922568,462495.171489187,3432735.27769071,1500,0.00543279901147826,0.00746120782827218,0.00340439019468433
2020-04-30,96462108,1688,0.4147,0.470832103129926,0.372394154826607,0.569270051433245,7.000136,0.4147,0.53659991995052,0.3328625735599,0.74033726634114,517615.594310584,4108692.51687858,454174.571819861,3886909.84951057,1500,0.0053659991995052,0.0074033726634114,0.003328625735599
2020-05-01,96462108,1527,0.1965,0.462670419291976,0.36761501688227,0.557725821701683,3.000555,0.1965,0.52699236360865,0.323728045430682,0.730256681786617,508347.942935928,4617040.45981451,446301.639541479,4333211.48905205,1500,0.0052699236360865,0.00730256681786617,0.00323728045430682
2020-05-02,96462108,1145,0.8734,0.455004752673458,0.362408312736317,0.547601192610599,10.00043,0.8734,0.515001391353746,0.309948766356792,0.720054016350699,496781.198329153,5113821.65814366,438907.175929004,4772118.66498105,1500,0.00515001391353746,0.00720054016350699,0.00309948766356792
