"CountryName","RegionName","Sum.Cases","Sum.Cost","PrescriptionIndex"
"Afghanistan","",5291417.27881213,3060,1
"Albania","",252779.546425991,3030,1
"Algeria","",5165206.7935722,2625,1
"Andorra","",1114.4517997751,3060,1
"Angola","",3216688.82907424,3060,1
"Argentina","",2721621.93416887,3060,1
"Aruba","",4467.65379530641,3060,1
"Australia","",1041719.06129664,3060,1
"Austria","",462679.323494196,3060,1
"Azerbaijan","",800077.295224907,3060,1
"Bahamas","",26118.0613963216,3060,1
"Bahrain","",57292.0254229601,3060,1
"Bangladesh","",15621339.2530636,3030,1
"Barbados","",27616.1494540236,3060,1
"Belarus","",853142.386585715,3060,1
"Belgium","",547166.095401885,1815,1
"Belize","",30079.6615214614,3060,1
"Benin","",1024705.69085819,3060,1
"Bermuda","",6928.99265786359,3060,1
"Bhutan","",82344.3795182535,3060,1
"Bolivia","",1218001.61316087,3060,1
"Bosnia and Herzegovina","",217334.71750979,3060,1
"Botswana","",278697.0856937,3060,1
"Brazil","",12646228.5088395,3060,1
"Brunei","",24322.3229608843,3060,1
"Bulgaria","",510949.608771709,3060,1
"Burkina Faso","",2681876.39582632,3060,1
"Burundi","",1691064.77204406,3060,1
"Cambodia","",956854.503560256,3060,1
"Cameroon","",0,3060,1
"Canada","",3442310.57943092,3060,1
"Cape Verde","",48847.1066132451,3060,1
"Central African Republic","",201389.904839964,3060,1
"Chad","",1793988.73678688,3060,1
"Chile","",1284719.99538866,3060,1
"China","",14839999.1294604,3060,1
"Colombia","",3198691.38541177,3060,1
"Comoros","",116310.717905643,3060,1
"Congo","",169546.46473396,3060,1
"Costa Rica","",335382.613391803,3060,1
"Cote d'Ivoire","",3561752.92119765,3060,1
"Croatia","",150458.905969165,3060,1
"Cuba","",1457336.95787408,3060,1
"Cyprus","",90717.6741549364,3060,1
"Czech Republic","",231975.336049637,3060,1
"Democratic Republic of Congo","",9097389.17325675,3060,1
"Denmark","",389999.682321717,3060,1
"Djibouti","",97111.9851647205,3060,1
"Dominica","",9345.08110505465,3060,1
"Dominican Republic","",1070384.17758651,3060,1
"Ecuador","",1892333.99405847,3060,1
"Egypt","",12060461.5061021,3060,1
"El Salvador","",770639.883546949,3060,1
"Eritrea","",470015.658218638,3060,1
"Estonia","",98522.2966318377,3045,1
"Eswatini","",123126.691670727,3060,1
"Ethiopia","",11540878.124673,3060,1
"Faeroe Islands","",5695.62897143216,3060,1
"Fiji","",61081.2333229525,3060,1
"Finland","",651262.490702639,3060,1
"France","",3620752.42481475,3060,1
"Gabon","",256875.886464117,3060,1
"Gambia","",337039.501224628,3060,1
"Georgia","",139955.232718312,2490,1
"Germany","",6903945.85623067,3060,1
"Ghana","",3240841.37339381,3060,1
"Greece","",1078270.18288757,3060,1
"Greenland","",7951.36257658523,3060,1
"Guam","",7032.4421339355,3060,1
"Guatemala","",2123058.29450451,3060,1
"Guinea","",1234875.62000848,3060,1
"Guyana","",95215.5377614419,3060,1
"Haiti","",1083750.93134729,3060,1
"Honduras","",1063046.60694608,3060,1
"Hong Kong","",761941.552974545,3060,1
"Hungary","",634200.723466896,3060,1
"Iceland","",35060.594521935,3060,1
"India","",140867481.185326,3060,1
"Indonesia","",34244628.4413455,3060,1
"Iran","",8317302.70356766,3060,1
"Iraq","",3702599.15938617,3060,1
"Ireland","",175766.793491949,3060,1
"Israel","",273587.775779253,3060,1
"Italy","",3650692.08456902,3060,1
"Jamaica","",331695.160187217,3060,1
"Japan","",16278560.2092927,3060,1
"Jordan","",731164.070680294,2955,1
"Kazakhstan","",2038802.25580282,3060,1
"Kenya","",6003494.29527488,3060,1
"Kosovo","",176692.200640878,1800,1
"Kuwait","",284298.163006009,3060,1
"Kyrgyz Republic","",610881.746941743,3060,1
"Laos","",0,3060,1
"Latvia","",132892.568901672,3060,1
"Lebanon","",392666.581512053,3060,1
"Lesotho","",167977.615921337,3060,1
"Liberia","",0,3060,1
"Libya","",685741.627244737,3060,1
"Lithuania","",85769.7564211843,3060,1
"Luxembourg","",11484.0315651646,3060,1
"Macao","",0,3060,1
"Madagascar","",1619453.50250233,3060,1
"Malawi","",2692747.12221817,2820,1
"Malaysia","",3914315.96393537,3060,1
"Mali","",1798192.5964738,3060,1
"Mauritania","",556713.006100946,3060,1
"Mauritius","",158640.616408399,3060,1
"Mexico","",13850374.4022731,2985,1
"Moldova","",74883.9942398183,3060,1
"Monaco","",2581.3002957181,3060,1
"Mongolia","",391715.893311947,3060,1
"Morocco","",3792845.69993104,3060,1
"Mozambique","",4212612.86460954,3060,1
"Myanmar","",6054216.3359598,3060,1
"Namibia","",269980.25976334,3060,1
"Nepal","",2797174.33142403,3060,1
"Netherlands","",627248.109104866,3060,1
"New Zealand","",524284.539786314,3060,1
"Nicaragua","",654581.739735887,3060,1
"Niger","",2672472.32850394,3060,1
"Nigeria","",25566712.4086002,3060,1
"Norway","",587436.067235312,3060,1
"Oman","",443670.511005245,3060,1
"Pakistan","",25583431.237717,3060,1
"Palestine","",308598.266787311,3060,1
"Panama","",111636.517268644,3060,1
"Papua New Guinea","",148261.890600833,3060,1
"Paraguay","",711147.405008513,3060,1
"Peru","",1913481.22925752,3060,1
"Philippines","",12589165.1672951,3060,1
"Poland","",2374947.35294123,3060,1
"Portugal","",426854.306389436,3060,1
"Puerto Rico","",211531.452254286,3060,1
"Qatar","",93809.2502159584,3060,1
"Romania","",1248127.13316307,3060,1
"Russia","",12593176.3037588,3060,1
"Rwanda","",1588462.86110265,3060,1
"San Marino","",962.06159015919,3060,1
"Saudi Arabia","",2153064.04797845,3060,1
"Senegal","",2047398.37662283,3060,1
"Serbia","",472550.876997552,3060,1
"Seychelles","",12534.9341881259,3030,1
"Sierra Leone","",941816.777701851,3060,1
"Singapore","",540366.137428294,3060,1
"Slovak Republic","",300425.851761225,3060,1
"Slovenia","",62111.5163959582,2850,1
"Solomon Islands","",0,3060,1
"Somalia","",222053.754363619,3060,1
"South Africa","",6788782.72140541,855,1
"South Korea","",6068812.15074585,3060,1
"South Sudan","",1427771.86461292,3060,1
"Spain","",2603472.36351831,3060,1
"Sri Lanka","",2593946.40909062,3060,1
"Sudan","",0,3060,1
"Suriname","",59875.3375613917,3060,1
"Sweden","",528582.708610801,3060,1
"Switzerland","",326135.773469677,3060,1
"Syria","",1950836.85499423,3060,1
"Taiwan","",361480.199143951,3060,1
"Tajikistan","",93159.6611747237,3060,1
"Tanzania","",0,3060,1
"Thailand","",7780971.01665626,3060,1
"Timor-Leste","",52503.6474117891,3060,1
"Togo","",1077483.78077119,3015,1
"Trinidad and Tobago","",160099.35298797,3060,1
"Tunisia","",1193492.83284648,3060,1
"Turkey","",6407917.29657831,3060,1
