"CountryName","RegionName","Date","PredictedDailyNewCases","PredictedDailyNewDeaths","PredictedDailyNewHospital","PredictedDailyNewICU","Cost","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H6_Facial.Coverings"
"Afghanistan","",2021-02-13,18432.4817926372,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-14,20404.2515968479,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-15,24141.737799925,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-16,25145.4229759843,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-17,27700.0703765373,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-18,30676.8857283422,NA,NA,NA,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-19,33817.7193018525,NA,4608.12044815931,1382.43613444779,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-20,36848.4275140998,NA,5101.06289921198,1530.31886976359,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-21,40428.1960027669,NA,6035.43444998125,1810.63033499437,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-22,45861.5786188479,NA,6286.35574399607,1885.90672319882,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-23,48632.2823757352,NA,6925.01759413432,2077.5052782403,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-24,53034.5658804478,NA,7669.22143208554,2300.76642962566,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-25,57920.0991887999,NA,8454.42982546311,2536.32894763893,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-26,63012.9987139314,184.324817926372,9212.10687852495,2763.63206355749,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-27,68019.6718182064,204.042515968479,10107.0490006917,3032.11470020752,12.14,1,1,1,2,1,1,1,1,1,1,1,1
"Afghanistan","",2021-02-28,74258.8549836022,241.41737799925,11465.394654712,3439.6183964136,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-01,81847.7361165443,251.454229759843,12158.0705939338,3647.42117818014,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-02,86670.8649746442,277.000703765373,13258.641470112,3977.59244103359,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-03,93055.025005124,306.768857283422,14480.0247972,4344.00743915999,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-04,99798.2441478626,338.177193018525,15753.2496784829,4725.97490354486,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-05,106574.742635609,368.484275140998,17004.9179545516,5101.47538636548,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-06,113038.848438043,404.281960027669,18564.7137459005,5569.41412377016,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-07,120447.390661253,458.615786188479,20461.9340291361,6138.58020874083,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-08,128843.885816254,486.322823757352,21667.7162436611,6500.31487309832,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-09,134028.794378424,530.345658804478,23263.756251281,6979.1268753843,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-10,140333.238275712,579.200991887999,24949.5610369656,7484.86831108969,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-11,146480.072586549,630.129987139314,26643.6856589021,7993.10569767064,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-12,152097.727770828,680.196718182064,28259.7121095106,8477.91363285319,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-13,156813.058118507,742.588549836022,30111.8476653132,9033.55429959395,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-14,161876.650988451,818.477361165443,32210.9714540635,9663.29143621904,9,1,1,0,1,1,1,0,1,0,1,1,1
"Afghanistan","",2021-03-15,168124.630079607,866.708649746442,33507.1985946059,10052.1595783818,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-16,169812.852552507,930.55025005124,35083.309568928,10524.9928706784,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-17,172056.754199131,997.982441478626,36620.0181466372,10986.0054439912,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-18,173618.832622963,1065.74742635609,38024.4319427069,11407.3295828121,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-19,174196.460377898,1130.38848438043,39203.2645296267,11760.979358888,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-20,173506.252605166,1204.47390661253,40469.1627471128,12140.7488241338,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-21,172912.343013967,1288.43885816254,42031.1575199018,12609.3472559705,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-22,173339.409977378,1340.28794378424,42453.2131381269,12735.9639414381,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-23,169088.703820129,1403.33238275712,43014.1885497828,12904.2565649348,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-24,165523.373839525,1464.80072586549,43404.7081557407,13021.4124467222,7.84,1,1,0,1,0,1,0,1,0,1,1,1
"Afghanistan","",2021-03-25,161466.020243878,1520.97727770828,43549.1150944746,13064.7345283424,7.84,1,1,0,1,0,1,0,1,0,1,1,1
