"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",5315572.84217071,2982.6,59061.9204685634,33.14,6
"Albania","",285617.104038609,1615.5,3173.52337820677,17.95,6
"Algeria","",4693415.32010835,2945.7,52149.059112315,32.73,6
"Andorra","",1067.73113816487,1554.3,11.863679312943,17.27,6
"Angola","",3439001.2239793,3085.2,38211.1247108812,34.28,6
"Argentina","",2949086.85934296,1747.35,32767.6317704774,19.415,6
"Aruba","",4181.43020064263,1517.4,46.4603355626959,16.86,6
"Australia","",1236341.75756871,2924.1,13737.1306396524,32.49,6
"Austria","",467307.551990717,2351.7,5192.30613323019,26.13,6
"Azerbaijan","",824546.235826066,3006,9161.62484251185,33.4,6
"Bahamas","",27611.2081655931,3026.7,306.791201839923,33.63,6
"Bahrain","",59345.8603055426,2463.3,659.398447839362,27.37,6
"Bangladesh","",16462464.0478061,2959.2,182916.267197846,32.88,6
"Barbados","",23868.0873164036,1515.15,265.200970182263,16.835,6
"Belarus","",967040.266379506,1514.25,10744.8918486612,16.825,6
"Belgium","",399033.851074092,2451.6,4433.70945637881,27.24,6
"Belize","",29960.7692077093,3006,332.897435641214,33.4,6
"Benin","",1139765.71413556,2993.4,12664.0634903951,33.26,6
"Bermuda","",6951.68750319243,3175.2,77.2409722576937,35.28,6
"Bhutan","",86541.2771694243,3043.8,961.569746326937,33.82,6
"Bolivia","",1297478.55685448,1602,14416.4284094942,17.8,6
"Bosnia and Herzegovina","",217285.106648107,2914.2,2414.27896275674,32.38,6
"Botswana","",293388.740840023,1561.5,3259.87489822248,17.35,6
"Brazil","",13235744.7126997,1894.05,147063.830141107,21.045,6
"Brunei","",28580.4135082892,3096,317.560150092102,34.4,6
"Bulgaria","",513761.825563753,2658.6,5708.46472848615,29.54,6
"Burkina Faso","",2741942.57426956,3213.9,30466.0286029951,35.71,6
"Burundi","",1708748.8974112,2745.45,18986.0988601245,30.505,6
"Cambodia","",1104984.46082337,2828.7,12277.6051202597,31.43,6
"Cameroon","",0,0,0,0,6
"Canada","",3611668.68409728,1638.45,40129.6520455253,18.205,6
"Cape Verde","",54025.6019908313,1333.35,600.284466564792,14.815,6
"Central African Republic","",250133.219868919,3091.5,2779.25799854355,34.35,6
"Chad","",1873453.03422399,3134.7,20816.144824711,34.83,6
"Chile","",1273646.42041761,2533.5,14151.626893529,28.15,6
"China","",18605394.1207808,2996.1,206726.601342009,33.29,6
"Colombia","",3449719.32073656,1607.4,38330.2146748507,17.86,6
"Comoros","",115483.755737146,1457.55,1283.15284152384,16.195,6
"Congo","",210057.674360663,2903.4,2333.97415956292,32.26,6
"Costa Rica","",360015.258326979,1670.4,4000.16953696643,18.56,6
"Cote d'Ivoire","",3593572.94588657,2865.6,39928.5882876286,31.84,6
"Croatia","",152792.540859037,2444.85,1697.69489843374,27.165,6
"Cuba","",1456606.64276247,2910.6,16184.5182529163,32.34,6
"Cyprus","",99656.3621028252,1561.95,1107.29291225361,17.355,6
"Czech Republic","",213179.441902814,1503.45,2368.66046558682,16.705,6
"Democratic Republic of Congo","",9710214.02223966,3302.1,107891.266913774,36.69,6
"Denmark","",387640.452716407,2638.8,4307.11614129341,29.32,6
"Djibouti","",102878.449399116,3194.1,1143.0938822124,35.49,6
"Dominica","",9358.5757936482,3064.5,103.98417548498,34.05,6
"Dominican Republic","",1065368.4623732,2426.85,11837.4273597022,26.965,6
"Ecuador","",1889756.62175042,3442.5,20997.2957972269,38.25,6
"Egypt","",12398197.3374958,2941.2,137757.748194398,32.68,6
"El Salvador","",766384.651748476,3244.5,8515.38501942751,36.05,6
"Eritrea","",517694.619076343,3081.6,5752.16243418159,34.24,6
"Estonia","",101921.096985015,1560.6,1132.45663316683,17.34,6
"Eswatini","",137826.343854693,1575.9,1531.4038206077,17.51,6
"Ethiopia","",12218093.4799783,3304.8,135756.594221981,36.72,6
"Faeroe Islands","",5722.46187473018,3011.4,63.5829097192242,33.46,6
"Fiji","",70153.551737392,3035.7,779.483908193245,33.73,6
"Finland","",653184.664828657,2910.6,7257.60738698508,32.34,6
"France","",3957989.25310027,1494.9,43977.6583677807,16.61,6
"Gabon","",261445.184922322,3138.3,2904.94649913691,34.87,6
"Gambia","",339151.882697667,2806.2,3768.3542521963,31.18,6
"Georgia","",106377.212892352,1537.2,1181.96903213724,17.08,6
"Germany","",7135810.09761313,1600.2,79286.7788623681,17.78,6
"Ghana","",3421679.19378976,3005.1,38018.6577087751,33.39,6
"Greece","",1081761.116327,3011.4,12019.5679591888,33.46,6
"Greenland","",8802.44893591825,1500.75,97.8049881768695,16.675,6
"Guam","",7256.94957682297,3045.6,80.6327730758107,33.84,6
"Guatemala","",2119733.63772305,2918.7,23552.5959747005,32.43,6
"Guinea","",1321083.82278155,2988,14678.7091420172,33.2,6
"Guyana","",106578.941797895,1590.3,1184.21046442106,17.67,6
"Haiti","",1176932.04658829,3397.5,13077.0227398699,37.75,6
"Honduras","",1051151.91440588,3122.1,11679.4657156208,34.69,6
"Hong Kong","",805893.987400477,3061.8,8954.37763778308,34.02,6
"Hungary","",657935.925697819,2320.65,7310.39917442021,25.785,6
"Iceland","",36067.8264954708,2289.6,400.753627727453,25.44,6
"India","",145826658.852218,2996.1,1620296.20946909,33.29,6
"Indonesia","",34351117.4252728,3060.9,381679.082503032,34.01,6
"Iran","",8343457.16475579,2913.3,92705.0796083976,32.37,6
"Iraq","",3855401.8102556,3096,42837.7978917289,34.4,6
